프로그램명,채널명,월간,게시글,댓글,동영상조회(K),뉴스,동영상,총합
방법,tvN,606006.0,4.695,16530.0,5047926.0,5533.0,463.0,27.2024876
번외수사,OCN,606015.0,1.798,5181.0,1850477.0,3623.0,605.0,15.040845700000002
보쌈-운명을 훔치다,MBN,808422.0,2.158,12354.0,3241512.0,5746.0,871.0,27.1363092
복수해라,TV CHOSUN,1010235.0,1.556,2355.0,250109.0,4560.0,266.0,9.6015669
본 대로 말하라,OCN,606006.0,3.713,14049.0,2245754.0,3594.0,753.0,25.401288400000002
본 어게인,KBS2,808018.0,5.934,28563.0,3380880.0,5718.0,431.0,38.935022000000004
불가살,tvN,404223.0,6.395,18483.0,3053110.0,2390.0,236.0,23.544706
브람스를 좋아하세요?,SBS,606027.0,52.117,363310.0,19679206.0,8191.0,695.0,380.4710376
블랙독,tvN,404003.0,7.278,29110.0,6944118.0,3682.0,481.0,38.3036898
비밀의 숲 2,tvN,808034.0,65.503,265753.0,13975267.0,8429.0,951.0,285.15502969999994
빈센조,tvN,1212616.0,40.692,351337.0,62264563.0,15634.0,1615.0,389.38814829999995
사랑은 뷰티풀 인생은 원더풀,KBS2,606006.0,7.248,36840.0,12216580.0,3404.0,777.0,49.24290599999999
사랑의 불시착,tvN,404003.0,82.255,514924.0,88875053.0,11498.0,897.0,544.3617603000001
사생활,JTBC,808038.0,7.507,37045.0,3005944.0,5250.0,459.0,47.1931014
사이코지만 괜찮아,tvN,808026.0,73.791,367688.0,42109022.0,11555.0,1211.0,395.63769320000006
산후조리원,tvN,404021.0,4.862,38249.0,13655406.0,5400.0,505.0,50.069402600000004
"선배, 그 립스틱 바르지 마요",JTBC,1010419.0,9.035,58618.0,11798095.0,9077.0,802.0,76.90384449999999
설강화 : snowdrop,JTBC,404223.0,19.03,182783.0,6496596.0,6007.0,215.0,191.6086896
쇼윈도:여왕의 집,채널A,404223.0,3.028,8692.0,4118267.0,4177.0,335.0,16.6338547
스타트업,tvN,808042.0,39.582,311127.0,21546757.0,9375.0,1136.0,334.0562577
스폰서,iHQ,202111.0,0.094,216.0,603.0,719.0,4.0,0.9751543
슬기로운 의사생활,tvN,808014.0,62.815,358058.0,50114726.0,18231.0,812.0,389.4832876
슬기로운 의사생활2,tvN,1010535.0,42.074,286206.0,55833220.0,13386.0,800.0,313.21739600000006
시지프스 : the myth,JTBC,1010511.0,9.741,51131.0,5890055.0,7620.0,610.0,65.44974649999999
신사와 아가씨,KBS2,1010550.0,12.056,85589.0,37720982.0,10038.0,929.0,108.70115419999999
십시일반,MBC,606021.0,0.982,1605.0,274612.0,2832.0,406.0,8.5254432
싸이코패스 다이어리,tvN,202001.0,1.299,4494.0,890999.0,727.0,177.0,7.0813989
쌍갑포차,JTBC,606015.0,7.002,36364.0,3621186.0,5622.0,426.0,46.6151206
써치,OCN,606030.0,4.423,23548.0,2734620.0,2475.0,521.0,31.510885
아는 건 별로 없지만 가족입니다,tvN,606018.0,4.562,19001.0,18139753.0,6324.0,732.0,34.4635373
아무도 모른다,SBS,606009.0,4.185,15226.0,2193399.0,7914.0,521.0,28.573524900000002
아이를 찾습니다,JTBC,202103.0,0.195,731.0,71750.0,549.0,70.0,1.98737
악마판사,tvN,606321.0,7.519,45579.0,23747478.0,7083.0,905.0,64.0942668
악의 꽃,tvN,606024.0,34.28,210087.0,21514684.0,9450.0,885.0,230.57274839999997
안녕 드라큘라,JTBC,202002.0,0.54,3714.0,208487.0,1195.0,68.0,5.6103887
안녕? 나야!,KBS2,1010511.0,2.709,7480.0,1416923.0,6341.0,408.0,18.0454013
"알고있지만,",JTBC,808426.0,6.289,89750.0,25276029.0,8567.0,605.0,106.90089189999999
암행어사: 조선비밀수사단,KBS2,1010327.0,5.662,27362.0,3416323.0,12660.0,734.0,47.709294299999996
야식남녀,JTBC,606018.0,1.827,4698.0,780472.0,4308.0,364.0,12.7258742
어느 날 우리 집 현관으로 멸망이 들어왔다,tvN,808422.0,7.708,108951.0,29862992.0,8448.0,1120.0,131.5930072
어사와 조이,tvN,606333.0,3.513,14327.0,5891683.0,5141.0,794.0,28.0006813
어서와,KBS2,606012.0,3.009,26594.0,1435947.0,4899.0,581.0,37.449603700000004
어쩌다 가족,TV CHOSUN,1414430.0,0.761,3072.0,148298.0,4597.0,212.0,9.8045908
엉클,TV CHOSUN,404223.0,2.902,7019.0,289921.0,1727.0,151.0,10.287894099999999
여신강림,tvN,1010327.0,43.762,530317.0,97572693.0,20814.0,1738.0,578.3120313
연모,KBS2,808442.0,18.278,89090.0,18793327.0,8057.0,594.0,104.9846107
연애는 귀찮지만 외로운 건 싫어!,MBC every1,808034.0,1.075,5007.0,520187.0,3872.0,392.0,12.8520937
