방송일자,채널명,프로그램시작시간,프로그램종료시간,프로그램명,방송회차명,프로그램장르소분류명,출연진내용,총시청률
20200116,MBC,21,215959,하자있는인간들,32회,미니시리즈,"['오연서', '안재현', '김슬기', '구원', '허정민', '황우슬혜']",1.2923521428571427
20200116,OCN,22,240218,트랩,1회,미니시리즈,"['이서진', '성동일', '임화영', '서영희', '오륭', '이주빈']",0.18636142857142857
20200117,SBS,22,222224,스토브리그,10회,미니시리즈,"['남궁민', '박은빈', '오정세', '조병규', '손종학', '이준혁']",6.203382857142857
20200117,SBS,22,224316,스토브리그,10회,미니시리즈,"['남궁민', '박은빈', '오정세', '조병규', '손종학', '이준혁']",7.878640714285713
20200117,SBS,22,230456,스토브리그,10회,미니시리즈,"['남궁민', '박은빈', '오정세', '조병규', '손종학', '이준혁']",8.69298642857143
20200118,SBS,22,222321,스토브리그,11회,미니시리즈,"['남궁민', '박은빈', '오정세', '조병규', '손종학', '이준혁']",5.5648349999999995
20200118,SBS,22,224526,스토브리그,11회,미니시리즈,"['남궁민', '박은빈', '오정세', '조병규', '손종학', '이준혁']",6.552492142857145
20200118,SBS,22,230710,스토브리그,11회,미니시리즈,"['남궁민', '박은빈', '오정세', '조병규', '손종학', '이준혁']",8.602050000000002
20200118,tvN,21,223955,사랑의불시착,9회,미니시리즈,"['현빈', '손예진', '서지혜', '김정현', '전국환', '정애리']",6.929779285714285
20200119,tvN,21,223801,사랑의불시착,10회,미니시리즈,"['현빈', '손예진', '서지혜', '김정현', '전국환', '정애리']",9.203714285714286
20200120,SBS,21,221606,낭만닥터김사부2,5회,미니시리즈,"['한석규', '안효섭', '이성경', '김주헌', '신동욱', '소주연']",7.457692857142858
20200120,SBS,22,224906,낭만닥터김사부2,5회,미니시리즈,"['한석규', '안효섭', '이성경', '김주헌', '신동욱', '소주연']",9.418402142857142
20200120,JTBC,21,224111,검사내전,9회,미니시리즈,"['이선균', '정려원', '이성재', '김광규', '이상희', '전성우']",1.278187857142857
20200120,tvN,21,224827,블랙독,11회,미니시리즈,"['서현진', '라미란', '하준', '이창훈', '태인호', '이항나']",1.8421535714285715
20200121,SBS,21,221722,낭만닥터김사부2,6회,미니시리즈,"['한석규', '안효섭', '이성경', '김주헌', '신동욱', '소주연']",7.953050714285714
20200121,SBS,22,225034,낭만닥터김사부2,6회,미니시리즈,"['한석규', '안효섭', '이성경', '김주헌', '신동욱', '소주연']",9.926347857142858
20200121,JTBC,21,223902,검사내전,10회,미니시리즈,"['이선균', '정려원', '이성재', '김광규', '이상희', '전성우']",1.3230785714285713
