프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
펜트하우스,2020.10.26,SBS,월화,"36,973","181,639","21,507","4,988",124,"4,412","7,140","2,930","4,210",400,721,780,"1,445","2,086",0.3,-,-,-,-
경이로운 소문,2020.11.28,OCN,토일,"27,593","130,908","14,767","4,695",495,"2,122","4,080","1,881","2,199",420,421,511,"1,218",997,3.2,"1,239","8,089","7,929","47,238"
철인왕후,2020.12.12,tvN,토일,"26,176","144,293","46,906","4,408",550,"2,219","4,018","1,768","2,250",289,348,423,"1,177","1,047",2.4,"6,846","12,393","51,047","132,385"
여신강림,2020.12.09,tvN,수목,"15,639","185,795","33,231","5,741",619,783,"1,478",582,896,212,118,206,438,254,1.2,393,"1,802","30,517","64,532"
런 온,2020.12.16,JTBC,수목,"13,724","75,571","5,007","3,294",329,487,839,339,500,52,63,92,211,216,1.3,"1,224","8,791","6,357","14,550"
펜트하우스2,2021.02.19,SBS,금,"8,219","25,597",492,333,13,-,-,-,-,-,-,-,-,-,-,826,"3,518","9,133","51,796"
오! 삼광빌라!,2020.09.19,KBS2,토일,"4,874","13,259","4,266","2,306",336,"5,192","7,640","3,239","4,401",318,571,527,929,"1,902",0.5,"1,687","3,742","12,639","6,730"
"선배, 그 립스틱 바르지 마요",2021.01.18,JTBC,월화,"3,028","16,125","1,750","3,096",170,378,609,242,367,40,67,92,111,152,0.2,223,"3,512","1,218","1,352"
허쉬,2020.12.11,JTBC,금,"2,032","4,177",222,"1,989",253,358,582,291,291,22,43,43,155,132,0.4,719,"1,090","1,948","4,493"
암행어사: 조선비밀수사단,2020.12.21,KBS2,월화,"1,775","8,867","1,065","3,424",238,"1,650","2,409","1,118","1,291",99,146,151,404,634,0.6,797,"1,693","5,126","16,506"
결혼작사 이혼작곡,2021.01.23,TV CHOS,토일,"1,475","11,637","1,865","3,252",75,"1,043","1,481",586,896,32,98,99,154,316,0.3,304,168,"1,271","2,415"
날아라 개천용,2020.10.30,SBS,금,"1,317","7,574","1,531","3,456",210,941,"1,486",722,764,75,109,125,325,416,0.3,"1,968","2,514","6,237","9,602"
낮과 밤,2020.11.30,tvN,월화,"1,286","4,982","3,218","2,450",266,904,"1,372",614,758,81,99,116,388,407,0.4,"1,061","1,106","7,431","23,675"
바람피면 죽는다,2020.12.02,KBS2,수목,970,"1,223",444,"3,065",190,544,730,316,414,41,48,64,116,209,0.1,-,49,904,"3,889"
라이브온,2020.11.17,JTBC,월화,832,"7,533","1,627","1,067",35,160,293,133,160,18,21,77,51,31,0.1,-,-,499,"1,055"
빈센조,2021.02.20,tvN,토일,474,"2,167",489,563,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
루카 : 더 비기닝,2021.02.01,tvN,월화,425,"1,494",380,"1,578",41,-,-,-,-,-,-,-,-,-,-,-,-,-,-
시지프스 : the myth,2021.02.17,JTBC,수목,180,"1,116",84,211,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
복수해라,2020.11.21,TV CHOS,토일,167,229,55,524,63,411,558,228,331,18,30,28,53,147,0.1,-,-,"1,743","3,104"
제발 그 남자 만나지 마요,2020.11.10,MBC eve,월화,167,723,94,662,61,76,161,69,92,20,21,6,48,45,0,518,"3,282",111,318
달이 뜨는 강,2021.02.15,KBS2,월화,125,515,4,174,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
안녕? 나야!,2021.02.17,KBS2,수목,104,233,2,209,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
괴물,2021.02.19,JTBC,금,78,387,96,316,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
타임즈,2021.02.20,OCN,토일,45,83,0,203,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
구미호 레시피,2021.02.12,KBS1,금,22,93,12,48,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
