프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
옷소매 붉은 끝동,2021.11.12,MBC,금,"11,536","54,556","6,790","2,876",295,"1,206","1,830",834,997,93,122,135,350,487,1.2,441,"5,718","16,678","28,073"
"지금, 헤어지는 중입니다",2021.11.12,SBS,금,"10,216","39,892","10,665","4,424",261,"1,158","1,734",692,"1,041",104,87,199,372,413,0.8,"1,044","5,108","11,238","24,406"
지리산,2021.10.23,tvN,토일,"9,264","50,168","3,539","3,194",434,"1,314","2,292",979,"1,313",144,190,227,578,660,0.6,"3,050","8,753","9,381","17,728"
연모,2021.10.11,KBS2,월화,"7,771","41,544","11,279","3,038",273,"1,516","2,140",865,"1,275",67,131,160,298,640,1.9,"2,357","15,109","11,721","54,885"
해피니스,2021.11.05,tvN,금,"6,052","23,195","4,502","2,420",419,598,"1,090",470,621,103,103,91,295,307,0.9,"1,331","5,546","6,254","20,280"
신사와 아가씨,2021.09.25,KBS2,토일,"3,962","25,895","12,913","2,883",267,"5,045","7,302","3,081","4,221",327,433,458,915,"1,636",1.1,"1,201","6,162","14,454","44,032"
멜랑꼴리아,2021.11.10,tvN,수목,"3,300","8,475","2,882","2,492",268,374,620,293,327,47,31,65,161,167,0.1,"1,120",557,"3,977","27,589"
너를 닮은 사람,2021.10.13,JTBC,수목,"2,870","11,400","6,269","2,015",289,317,475,177,298,16,40,38,88,153,1.4,454,"1,433","4,530","23,467"
구경이,2021.10.30,JTBC,토일,"2,323","7,916",495,"2,360",197,297,482,212,269,30,41,41,138,110,0.5,"2,264","11,052","4,518","22,155"
어사와 조이,2021.11.08,tvN,월화,"2,260","8,337","2,691","2,743",410,637,965,438,526,51,68,79,213,307,0.8,"3,710","29,145","6,473","24,921"
너의 밤이 되어줄게,2021.11.07,SBS,토일,"1,636","9,213",287,"1,748",101,409,611,307,304,30,56,70,99,150,0.1,534,291,456,"1,024"
태종 이방원,2021.12.11,KBS1,토일,"1,211","3,471",8,610,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
원 더 우먼,2021.09.17,SBS,금,"1,134","6,961","5,254",815,73,"2,922","4,699","2,083","2,616",291,325,353,"1,033","1,415",0.4,"2,710","17,016","6,014","18,563"
학교 2021,2021.11.24,KBS2,수목,941,"4,678",308,"2,326",82,502,718,314,404,38,29,45,185,175,0,-,10,99,157
설강화 : snowdrop,2021.12.18,JTBC,토일,871,"3,300",177,241,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
달리와 감자탕,2021.09.22,KBS2,수목,718,"3,771","1,401","1,047",110,879,"1,167",490,677,40,59,67,187,350,0.3,-,"6,257","1,464","11,666"
키마이라,2021.10.30,OCN,토일,673,"1,146",129,904,266,244,348,174,174,15,29,35,65,131,0.3,-,-,-,-
IDOL (아이돌 : The Coup),2021.11.08,JTBC,월화,664,"4,017",562,"1,585",340,101,165,69,96,19,18,12,30,42,0.1,503,"3,403",601,"2,417"
그 해 우리는,2021.12.06,SBS,월화,589,"2,298",459,814,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
크라임 퍼즐,2021.11.01,SKY,월화,571,"1,331",488,775,26,66,101,39,62,7,5,16,30,24,-,-,-,-,-
쇼윈도:여왕의 집,2021.11.29,채널A,월화,543,"1,326",177,"1,816",65,240,339,127,212,8,21,37,45,114,0,259,252,114,53
KBS 드라마 스페셜 2021,2021.10.22,KBS2,금,348,"2,845",116,749,109,221,289,113,177,11,17,25,62,70,-,9,94,238,91
하이클래스,2021.09.06,tvN,월화,336,652,575,501,54,860,"1,196",455,741,31,67,111,244,428,0,-,22,882,"3,476"
불가살,2021.12.18,tvN,토일,320,437,35,230,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
공작도시,2021.12.08,JTBC,수목,193,481,97,446,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
배드 앤 크레이지,2021.12.17,tvN,금,120,277,4,452,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
스폰서,방송예정,iHQ,월화,94,216,1,719,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
엉클,2021.12.11,TV CHOS,토일,90,121,0,263,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
하트가 빛나는 순간,2021.09.28,EBS1,월화,30,"6,203","1,760",10,0,12,18,7,11,1,1,3,5,2,-,-,-,261,767
꽃 피면 달 생각하고,2021.12.20,KBS2,월화,24,66,6,80,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
한 사람만,2021.12.20,JTBC,월화,23,47,13,84,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
