프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
펜트하우스2,2021.02.19,SBS,금,"37,972","393,153","95,113","8,086",421,"4,383","7,207","2,961","4,246",495,670,961,"1,391","1,957",1.1,"4,354","16,479","51,298","158,737"
빈센조,2021.02.20,tvN,토일,"15,069","146,658","25,567","5,428",674,"1,895","3,219","1,473","1,745",220,267,377,920,840,1.9,"2,432","19,546","31,670","112,049"
조선구마사,2021.03.22,SBS,월화,"13,460","272,929","6,555","6,817",177,"1,449","2,247","1,062","1,185",96,164,299,568,618,0.1,"1,067",793,"1,902","1,427"
마우스,2021.03.03,tvN,수목,"6,625","40,821","8,650","4,300",490,"1,048","1,699",734,965,90,137,241,491,456,1.4,"2,746","4,469","18,668","52,450"
달이 뜨는 강,2021.02.15,KBS2,월화,"5,091","73,343","4,413","5,605",271,"1,548","2,204",982,"1,222",71,115,190,374,617,0.4,"2,356","1,935","7,738","12,254"
괴물,2021.02.19,JTBC,금,"4,809","29,228","1,873","3,875",307,770,"1,243",518,725,46,81,164,329,388,0.3,304,"1,643","10,246","23,257"
시지프스 : the myth,2021.02.17,JTBC,수목,"4,126","23,092","3,255","3,053",336,823,"1,308",591,717,49,116,141,309,428,0.8,465,"6,628","4,617","20,113"
나빌레라,2021.03.22,tvN,월화,"2,726","15,105","1,662","3,260",254,526,796,324,472,39,73,95,173,212,0.5,966,"1,389","2,395","1,180"
오케이 광자매,2021.03.13,KBS2,토일,"1,538","4,680",991,"3,272",207,"4,317","6,103","2,565","3,538",205,330,387,766,"1,425",0.4,10,977,"6,344","1,592"
안녕? 나야!,2021.02.17,KBS2,수목,"1,112","3,522",642,"2,079",205,669,994,439,556,63,67,80,180,281,0.4,"1,484","2,555","2,134","10,049"
오! 삼광빌라!,2020.09.19,KBS2,토일,874,"5,371","1,071",970,69,"5,361","7,702","3,163","4,539",270,519,549,941,"1,893",0.5,-,"2,473","2,961","4,584"
루카 : 더 비기닝,2021.02.01,tvN,월화,836,"4,216","2,157","1,664",211,"1,109","1,790",872,918,94,141,176,440,595,0.9,467,"3,532","4,909","14,600"
"선배, 그 립스틱 바르지 마요",2021.01.18,JTBC,월화,806,"8,003","3,433","1,005",145,313,488,216,272,21,43,46,100,120,0.2,34,"1,233",152,"4,004"
타임즈,2021.02.20,OCN,토일,729,"1,921",814,"1,299",390,350,513,273,239,21,18,58,130,178,0.2,63,"1,098","1,953","15,411"
오! 주인님,2021.03.24,MBC,수목,726,"5,158",347,"3,010",176,286,436,229,207,11,42,74,81,143,0.1,25,369,602,"1,033"
결혼작사 이혼작곡,2021.01.23,TV CHOS,토일,718,"2,938","1,598","1,191",93,"1,058","1,426",567,859,31,69,76,149,301,0.3,339,"1,114","3,204","6,078"
드라마 스테이지 2021,2021.03.03,tvN,수목,673,"5,049","2,084","1,212",302,213,337,157,180,17,28,59,92,87,0,444,"1,011",895,"6,354"
경로를 이탈하였습니다,2021.03.15,JTBC,월화,221,"1,103",137,685,68,375,588,282,306,18,49,73,125,173,0,-,-,-,-
아이를 찾습니다,2021.03.22,JTBC,월화,195,731,72,549,70,428,661,259,402,12,41,86,137,204,0,-,-,-,-
모범택시,2021.04.09,SBS,금,153,848,109,625,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대박부동산,2021.04.14,KBS2,수목,123,637,46,395,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
로스쿨,2021.04.14,JTBC,수목,106,961,184,320,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
어쩌다 가족,2021.03.21,TV CHOS,토일,81,277,16,455,18,216,288,134,154,11,6,19,47,82,-,-,-,260,114
언더커버,2021.04.23,JTBC,금,28,130,60,144,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
다크홀,2021.04.30,OCN,금,12,71,4,44,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
