프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
더 킹 : 영원의 군주,2020.04.17,SBS,금,"53,177","230,527","7,876","5,045",288,"1,369","2,176",929,"1,247",156,162,303,517,533,480,188,270,902,"1,225"
부부의 세계,2020.03.27,JTBC,금,"44,505","268,018","38,471","7,344",327,"3,768","6,036","2,454","3,583",255,642,834,"1,299","1,634",163,410,517,"2,690","2,607"
슬기로운 의사생활,2020.03.12,tvN,수목,"22,702","138,618","19,519","7,364",345,"2,366","4,054","1,706","2,348",344,409,630,"1,224",920,470,"1,302","1,114","3,713","3,768"
그 남자의 기억법,2020.03.18,MBC,수목,"8,506","62,417","2,930","1,592",183,655,966,381,584,51,82,139,194,232,82,82,94,228,333
꼰대인턴,2020.05.20,MBC,수목,"3,856","34,167","1,165","7,207",237,498,792,394,397,91,66,129,204,155,191,94,106,344,392
오 마이 베이비,2020.05.13,tvN,수목,"3,416","10,980","1,620","2,837",287,437,680,274,406,49,65,115,197,145,60,188,329,462,507
한 번 다녀왔습니다,2020.03.28,KBS2,토일,"3,081","32,166","10,209","3,701",414,"4,970","6,928","2,864","4,063",265,434,562,931,"1,619",240,152,201,"1,276","1,019"
쌍갑포차,2020.05.20,JTBC,수목,"2,945","17,545","1,038","2,985",160,506,769,342,427,34,55,124,225,181,327,84,107,312,411
본 어게인,2020.04.20,KBS2,월화,"2,494","14,081","2,138","2,140",204,459,632,236,396,23,48,68,109,174,86,12,47,184,386
화양연화 - 삶이 꽃이 되는 순간,2020.04.25,tvN,토일,"2,371","15,853","5,856","3,134",396,664,"1,023",433,590,40,76,128,227,258,141,140,152,618,469
굿캐스팅,2020.04.27,SBS,월화,"1,856","7,173","2,529","3,378",278,"1,673","2,632","1,180","1,453",143,194,291,632,717,217,71,177,455,940
영혼수선공,2020.05.06,KBS2,수목,"1,779","11,368","1,285","4,050",221,557,805,341,464,34,56,74,172,204,189,94,166,260,438
저녁 같이 드실래요,2020.05.25,MBC,월화,964,"4,361","1,025","2,735",161,487,695,300,395,33,62,134,153,162,58,-,35,101,101
루갈,2020.03.28,OCN,토일,912,"3,596",486,761,279,374,553,275,278,32,37,37,124,200,239,-,-,-,-
야식남녀,2020.05.25,JTBC,월화,905,"2,498",238,"2,217",84,220,305,124,180,2,29,32,82,96,9,36,36,51,42
번외수사,2020.05.23,OCN,토일,766,"3,163","1,301","2,126",220,462,748,360,388,29,50,93,248,199,241,24,59,33,301
바람과 구름과 비,2020.05.17,TV CHOS,토일,709,"2,317",184,"1,818",93,519,717,345,371,15,54,40,72,279,140,47,59,101,156
사이코지만 괜찮아,2020.06.20,tvN,토일,498,"3,340",156,484,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
외출,2020.05.04,tvN,월화,433,"1,084",697,673,73,516,762,322,440,42,58,71,171,217,24,35,35,134,84
365 : 운명을 거스르는 1년,2020.03.23,MBC,월화,270,"1,878",13,0,4,-,-,-,-,-,-,-,-,-,-,-,35,17,17
유별나! 문셰프,2020.03.27,채널A,금,245,666,307,819,215,131,184,93,91,4,18,19,25,57,-,48,59,67,160
편의점 샛별이,2020.06.19,SBS,금,242,"1,230",52,519,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
메모리스트,2020.03.11,tvN,수목,151,875,31,275,2,-,-,-,-,-,-,-,-,-,-,-,35,84,119
어서와,2020.03.25,KBS2,수목,94,470,13,85,2,-,-,-,-,-,-,-,-,-,-,-,71,17,39
아는 건 별로 없지만 가족입니다,2020.06.01,tvN,월화,91,240,62,894,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
반의반,2020.03.23,tvN,월화,64,313,14,3,0,-,-,-,-,-,-,-,-,-,-,12,12,-,34
행복의 진수,2020.05.18,JTBC,월화,43,102,23,80,48,210,290,135,155,7,18,49,90,84,8,-,35,-,54
어쩌다 가족,2020.03.29,TV CHOS,토일,33,37,2,97,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
