프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
빈센조,2021.02.20,tvN,토일,"5,942","37,782","4,216",688,114,"2,460","4,304","1,972","2,332",289,407,466,"1,202","1,152",0.8,"3,218","3,864","17,565","59,455"
모범택시,2021.04.09,SBS,금,"5,879","42,475","12,677","4,140",352,"2,569","4,149","1,956","2,193",213,310,474,988,"1,162",2.1,"1,373","21,028","17,097","86,609"
오월의 청춘,2021.05.03,KBS2,월화,"4,309","23,870","4,442","3,439",276,970,"1,432",608,824,49,100,137,240,426,0.4,"1,045","2,103","5,806","8,260"
어느 날 우리 집 현관으로 멸망이 들어왔다,2021.05.10,tvN,월화,"3,989","52,713","12,849","4,174",462,744,"1,285",548,737,115,112,140,430,311,0.9,"2,336","3,691","21,471","48,909"
마인,2021.05.08,tvN,토일,"3,924","20,920","14,252","4,358",532,"1,109","1,850",758,"1,092",67,158,193,404,528,1.9,368,305,"19,689","56,729"
로스쿨,2021.04.14,JTBC,수목,"3,187","19,822","5,462","1,889",325,869,"1,350",575,774,52,124,123,247,439,1.5,"1,001","4,815","5,849","62,532"
펜트하우스3,2021.06.04,SBS,금,"3,157","29,080","4,136","1,419",43,-,-,-,-,-,-,-,-,-,-,-,-,620,"12,412"
마우스,2021.03.03,tvN,수목,"2,870","21,462","6,258","1,906",241,"1,172","1,939",798,"1,141",116,155,229,598,543,1.1,763,"3,208","19,654","47,930"
대박부동산,2021.04.14,KBS2,수목,"2,070","7,670","1,860","1,680",190,"1,076","1,614",720,894,73,105,164,413,453,0.5,514,"5,562","6,358","22,902"
간 떨어지는 동거,2021.05.26,tvN,수목,"1,877","12,525","3,546","1,914",141,861,"1,504",637,867,117,108,170,429,437,0.2,82,763,"7,513","8,913"
이미테이션,2021.05.07,KBS2,금,"1,799","18,276","1,046","1,592",121,252,335,109,225,24,45,38,71,69,0.1,27,"21,579","2,069","9,794"
오케이 광자매,2021.03.13,KBS2,토일,"1,750","7,580","4,417","2,654",305,"4,792","6,913","2,927","3,986",240,388,456,911,"1,650",0.5,514,477,"18,027","7,200"
다크홀,2021.04.30,OCN,금,"1,480","8,627",551,"1,629",411,157,250,125,125,17,22,33,68,64,0.3,463,"1,044","1,951","23,229"
언더커버,2021.04.23,JTBC,금,"1,099","3,325",887,"2,226",309,554,878,432,446,21,72,59,142,328,0.4,"1,765","2,404","7,584","17,272"
보쌈-운명을 훔치다,2021.05.01,MBN,토일,"1,054","5,448","1,008","2,583",441,854,"1,193",518,675,21,76,65,118,289,0.6,600,"2,300","5,539","7,862"
라켓소년단,2021.05.31,SBS,월화,440,"2,076",250,"1,398",68,"1,047","1,667",698,969,111,105,172,338,499,0.1,-,-,517,-
슬기로운 의사생활2,2021.06.17,tvN,수목,404,"2,479",484,417,6,-,-,-,-,-,-,-,-,-,-,-,592,437,"2,146"
오! 주인님,2021.03.24,MBC,수목,391,814,152,"1,209",94,441,573,269,305,20,32,66,119,135,0,179,511,12,"1,989"
보이스 4,2021.06.18,tvN,금,312,"1,513",85,398,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
목표가 생겼다,2021.05.19,MBC,수목,249,467,75,"1,514",112,541,762,358,404,19,44,81,137,213,0,366,"1,078",550,"2,408"
나빌레라,2021.03.22,tvN,월화,242,420,2,13,0,-,-,-,-,-,-,-,-,-,-,-,546,-,"1,376"
"알고있지만,",2021.06.19,JTBC,토일,210,"2,751",482,656,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
결혼작사 이혼작곡 시즌2,2021.06.12,TV CHOS,토일,182,602,18,639,6,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,193"
멀리서 보면 푸른 봄,2021.06.14,KBS2,월화,174,999,30,296,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
어쩌다 가족,2021.03.21,TV CHOS,토일,100,"1,236",32,786,71,185,262,117,145,5,27,14,31,77,-,-,"1,147",349,23
월간 집,2021.06.16,JTBC,수목,27,95,6,125,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
미치지 않고서야,2021.06.23,MBC,수목,24,17,0,4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
