프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
펜트하우스3,2021.06.04,SBS,금,"15,591","146,257","36,127","5,469",306,"3,015","4,918","2,052","2,866",345,410,578,943,"1,440",0.9,"2,282","8,486","19,243","74,230"
슬기로운 의사생활2,2021.06.17,tvN,수목,"8,719","63,238","14,149","4,107",172,"1,945","3,641","1,490","2,151",297,320,523,"1,068",881,0.9,"3,309","6,436","18,594","45,956"
간 떨어지는 동거,2021.05.26,tvN,수목,"3,731","29,302","21,047","2,817",524,758,"1,280",512,768,89,91,162,427,290,0.9,819,"9,691","27,947","59,829"
어느 날 우리 집 현관으로 멸망이 들어왔다,2021.05.10,tvN,월화,"3,261","51,101","16,120","3,521",637,603,991,424,567,94,89,110,348,216,0.5,824,"6,447","29,376","49,105"
라켓소년단,2021.05.31,SBS,월화,"3,036","18,689","2,968","3,108",317,994,"1,651",746,905,127,112,141,418,501,1,"1,010","3,698","8,578","40,367"
마인,2021.05.08,tvN,토일,"2,863","15,929","16,180","3,369",515,"1,324","2,192",881,"1,311",86,180,235,407,637,2.1,"2,334","2,144","17,731","72,034"
오월의 청춘,2021.05.03,KBS2,월화,"2,760","14,271","2,164","1,791",91,983,"1,447",609,838,54,106,127,242,445,0.1,215,"6,185","2,439","8,237"
멀리서 보면 푸른 봄,2021.06.14,KBS2,월화,"2,691","29,595",997,"2,815",186,443,656,259,398,40,54,55,97,164,0.1,110,783,"1,583","4,515"
보이스 4,2021.06.18,tvN,금,"2,505","10,909","1,087","2,488",264,696,"1,131",501,629,74,98,99,306,373,0.4,150,833,"7,289","13,945"
"알고있지만,",2021.06.19,JTBC,토일,"2,353","20,972","5,087","2,526",128,287,532,222,310,65,66,61,116,97,0.3,68,218,"3,586","13,060"
오케이 광자매,2021.03.13,KBS2,토일,"2,322","8,390","7,565","2,181",252,"4,698","6,751","2,842","3,909",213,397,414,908,"1,587",0.5,"1,112","1,149","11,647","6,060"
월간 집,2021.06.16,JTBC,수목,"2,040","9,137","1,231","1,930",235,383,577,230,348,21,38,42,139,168,0.1,128,279,"3,638","5,089"
결혼작사 이혼작곡 시즌2,2021.06.12,TV CHOS,토일,"1,887","6,125","2,067","3,054",150,751,"1,006",377,629,19,59,70,88,220,0.3,187,437,"1,267","24,911"
로스쿨,2021.04.14,JTBC,수목,"1,505","12,119","2,915","1,283",136,848,"1,319",558,761,63,137,98,275,402,0.9,"1,286","3,668","3,395","47,680"
미치지 않고서야,2021.06.23,MBC,수목,830,"2,805",508,"2,077",128,706,955,441,514,33,50,123,126,264,0.1,53,28,"1,603","1,345"
보쌈-운명을 훔치다,2021.05.01,MBN,토일,807,"4,992","1,787","1,785",303,"1,106","1,492",671,821,21,88,85,150,353,0.2,"1,513","1,034","10,402","12,698"
이미테이션,2021.05.07,KBS2,금,794,"8,066",616,749,109,175,251,95,156,7,29,30,40,63,0.1,451,913,"1,363","2,558"
대박부동산,2021.04.14,KBS2,수목,746,"2,983",790,850,97,961,"1,446",623,823,61,101,123,332,411,0.2,-,"1,703","3,333","13,285"
언더커버,2021.04.23,JTBC,금,486,"1,908",400,"1,053",142,599,921,478,443,21,70,45,170,340,0.1,79,"2,524","3,931","15,229"
악마판사,2021.07.03,tvN,토일,386,"2,797",343,944,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
너는 나의 봄,2021.07.05,tvN,월화,320,"1,086",180,864,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
다크홀,2021.04.30,OCN,금,210,454,92,415,89,171,285,136,149,24,31,19,87,71,0,-,-,226,"5,489"
어쩌다 가족,2021.03.21,TV CHOS,토일,23,33,3,176,9,156,234,115,120,8,13,9,28,77,-,-,429,-,-
