프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
갯마을 차차차,2021.08.28,tvN,토일,"13,504","92,146","20,126","1,428",358,"1,843","3,266","1,383","1,882",266,291,379,758,942,3.4,"6,971","26,328","25,957","111,902"
지리산,2021.10.23,tvN,토일,"9,642","44,462","2,322","3,572",231,"1,613","2,767","1,187","1,581",169,218,288,733,772,0.6,254,"1,524","4,924","6,364"
유미의 세포들,2021.09.17,tvN,금,"6,908","63,702","9,647","1,604",168,403,728,271,457,56,90,117,180,176,-,450,"3,464","13,638","45,080"
연모,2021.10.11,KBS2,월화,"6,572","24,518","2,886","2,803",205,"1,267","1,748",706,"1,042",57,85,140,230,448,1.9,"1,460","10,084","5,496","42,076"
검은 태양,2021.09.17,MBC,금,"6,289","23,875","6,332","2,883",226,447,643,324,320,39,15,62,163,150,2.7,"4,899","14,015","14,067","41,128"
원 더 우먼,2021.09.17,SBS,금,"5,562","30,944","26,799","3,430",331,"2,355","3,746","1,652","2,094",219,286,304,746,"1,117",2.3,"6,937","21,242","25,900","70,991"
홍천기,2021.08.30,SBS,월화,"4,492","28,027","10,502","3,580",302,"1,560","2,403","1,042","1,360",118,173,184,565,730,1.6,403,"6,385","9,260","26,080"
신사와 아가씨,2021.09.25,KBS2,토일,"3,045","15,134","7,462","3,171",316,"4,458","6,352","2,690","3,663",249,363,413,764,"1,471",1.1,"2,240","8,784","15,704","55,912"
너를 닮은 사람,2021.10.13,JTBC,수목,"2,542","7,229","3,643","3,068",224,347,587,224,363,35,51,46,148,173,0.9,"1,648","2,884","2,872","13,514"
하이클래스,2021.09.06,tvN,월화,"1,748","4,583","6,820","1,232",366,728,"1,060",406,654,44,63,91,215,377,0.2,"1,878","4,873","7,840","21,448"
인간실격,2021.09.04,JTBC,토일,"1,622","9,004","1,335","1,427",271,182,296,120,176,12,32,21,63,81,0.1,527,"4,021","1,029","5,698"
달리와 감자탕,2021.09.22,KBS2,수목,"1,495","8,855","2,589","1,744",221,903,"1,224",501,723,43,65,84,211,374,0.5,-,"2,560","6,159","15,847"
"지금, 헤어지는 중입니다",2021.11.12,SBS,금,924,"4,850",643,822,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
홈타운,2021.09.22,tvN,수목,861,"1,543",484,407,320,274,433,194,239,21,30,53,116,119,0.1,431,274,"1,747","4,353"
옷소매 붉은 끝동,2021.11.12,MBC,금,838,"3,790",90,474,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
구경이,2021.10.30,JTBC,토일,685,"2,214",246,"2,364",61,371,596,267,329,25,47,82,110,195,0.4,-,-,404,755
뫼비우스: 검은태양,2021.10.29,MBC,금,447,"1,317",279,809,36,618,911,460,452,35,54,121,202,281,0.1,29,57,375,479
경찰수업,2021.08.09,KBS2,월화,433,"1,501",387,858,56,"1,139","1,565",648,917,55,119,111,207,426,0.1,261,826,"1,046","6,359"
해피니스,2021.11.05,tvN,금,380,"1,581",43,611,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
멜랑꼴리아,2021.11.10,tvN,수목,336,"1,599",33,679,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
너의 밤이 되어줄게,2021.11.07,SBS,토일,290,"1,029",55,454,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KBS 드라마 스페셜 2021,2021.10.22,KBS2,금,279,837,87,920,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
키마이라,2021.10.30,OCN,토일,244,497,32,702,81,222,322,169,153,9,26,30,79,108,0.1,-,-,-,-
어사와 조이,2021.11.08,tvN,월화,171,894,133,313,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
크라임 퍼즐,2021.11.01,SKY,월화,123,698,654,"1,063",21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
학교 2021,2021.11.24,KBS2,수목,54,192,20,249,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
하트가 빛나는 순간,2021.09.28,EBS1,월화,38,"6,662","1,776",38,0,-,-,-,-,-,-,-,-,-,-,17,294,136,"1,110"
IDOL (아이돌 : The Coup),2021.11.08,JTBC,월화,35,778,37,252,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
