프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
슬기로운 의사생활2,2021.06.17,tvN,수목,"10,655","73,537","15,996","2,911",226,"2,210","4,117","1,682","2,435",373,435,507,"1,166","1,037",2.5,"7,537","22,219","44,076","118,504"
펜트하우스3,2021.06.04,SBS,금,"9,911","90,661","30,231","2,737",181,"3,348","5,543","2,299","3,245",425,522,609,"1,107","1,481",1,"1,425","4,957","14,509","60,834"
홍천기,2021.08.30,SBS,월화,"4,469","20,335","1,381","2,898",124,"1,424","2,187",959,"1,229",111,141,204,472,731,0.4,337,"1,092","1,207",223
경찰수업,2021.08.09,KBS2,월화,"3,219","12,193","1,915","4,313",265,"1,315","2,057",905,"1,152",130,171,150,426,593,0.5,"3,326","8,636","4,550","11,564"
갯마을 차차차,2021.08.28,tvN,토일,"3,154","20,777","1,864","2,255",136,"1,269","2,204",979,"1,225",160,191,270,507,664,0.8,639,692,"3,684","2,789"
너는 나의 봄,2021.07.05,tvN,월화,"3,111","16,145","3,795","3,142",355,392,583,230,353,25,37,65,180,150,1.5,"3,942","9,130","11,747","25,324"
악마판사,2021.07.03,tvN,토일,"2,418","15,421","9,537","2,281",362,"1,185","1,997",869,"1,128",103,155,241,478,546,0.7,"2,386","7,299","21,786","62,382"
오케이 광자매,2021.03.13,KBS2,토일,"1,921","10,188","6,366","1,524",263,"5,036","7,312","3,139","4,174",301,460,512,967,"1,704",0.6,48,"6,494","12,794","9,472"
결혼작사 이혼작곡 시즌2,2021.06.12,TV CHOS,토일,"1,335","6,521","2,487","1,468",63,"1,872","2,710","1,037","1,673",97,184,199,322,663,0.4,993,"12,996","3,788","19,215"
"알고있지만,",2021.06.19,JTBC,토일,"1,239","24,626","5,916","2,292",170,256,387,148,240,36,53,68,103,64,0.3,-,291,"2,157","22,064"
더 로드 : 1의 비극,2021.08.04,tvN,수목,"1,195","2,190","1,005","2,876",375,435,657,282,375,28,48,48,179,210,0.3,931,702,"3,074","6,654"
라켓소년단,2021.05.31,SBS,월화,"1,041","5,949",737,"1,136",49,868,"1,546",728,817,156,109,188,425,353,0.2,-,"1,846",536,"6,396"
미치지 않고서야,2021.06.23,MBC,수목,728,"2,503",742,"1,387",185,762,"1,101",522,579,41,67,126,189,275,0.4,665,"5,700","1,668","3,738"
인간실격,2021.09.04,JTBC,토일,676,"5,188",275,"1,003",12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
이벤트를 확인하세요,2021.08.14,MBC,토일,397,"1,686",131,691,145,256,368,158,209,20,21,47,86,88,0,-,-,-,25
월간 집,2021.06.16,JTBC,수목,387,"2,422",826,599,84,457,723,298,425,43,44,40,146,223,0.1,-,"1,268",349,"9,437"
하이클래스,2021.09.06,tvN,월화,190,408,63,542,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
원 더 우먼,2021.09.17,SBS,금,159,389,47,384,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
검은 태양,2021.09.17,MBC,금,147,340,15,224,7,-,-,-,-,-,-,-,-,-,-,-,14,-,75
보이스 4,2021.06.18,tvN,금,139,237,6,266,7,-,-,-,-,-,-,-,-,-,-,-,57,621,"6,737"
괴기맨숀:디 오리지널,2021.07.30,SKY,금,111,174,7,46,5,17,20,5,15,-,2,12,4,2,-,-,-,-,-
유미의 세포들,2021.09.17,tvN,금,33,152,0,183,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
달리와 감자탕,2021.09.22,KBS2,수목,28,42,1,140,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
신사와 아가씨,2021.09.25,KBS2,토일,11,10,0,79,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
홈타운,2021.09.22,tvN,수목,10,36,2,62,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
