프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
스토브리그,2019.12.13,SBS,금,"42,064","150,748","14,407","5,394",271,"2,545","3,170","1,420","1,749",167,218,304,876,996,434,291,386,"1,033","1,319"
사랑의 불시착,2019.12.14,tvN,토일,"38,239","249,171","41,477","5,955",379,"2,290","3,106","1,207","1,898",278,211,344,991,776,575,676,602,"3,208","2,647"
낭만닥터 김사부 2,2020.01.06,SBS,월화,"14,613","73,565","11,054","7,492",331,"3,026","3,632","1,560","2,072",231,196,273,954,"1,067",791,301,497,920,"1,391"
블랙독,2019.12.16,tvN,월화,"5,876","23,347","5,628","2,662",384,893,979,319,660,54,60,94,311,305,243,374,289,967,"1,001"
간택 - 여인들의 전쟁,2019.12.14,TV CHOS,토일,"2,957","9,929","2,151","2,009",161,738,791,342,449,15,48,34,116,210,79,86,100,290,354
검사내전,2019.12.16,JTBC,월화,"2,841","8,236","1,362","2,055",311,673,749,320,430,22,51,55,189,264,247,146,202,333,489
사랑은 뷰티풀 인생은 원더풀,2019.09.28,KBS2,토일,"2,380","11,709","3,190","1,123",241,"4,904","5,395","2,040","3,355",126,264,307,672,"1,294",189,86,158,587,435
이태원 클라쓰,2020.01.31,JTBC,금,"2,292","9,549",615,"2,912",104,110,102,39,62,0,5,4,17,36,212,-,-,8,-
99억의 여자,2019.12.04,KBS2,수목,"1,567","7,483","1,118","3,527",203,"1,743","1,796",642,"1,155",49,102,78,341,628,378,87,93,262,315
머니게임,2020.01.15,tvN,수목,"1,360","4,154",827,"3,282",307,409,476,187,289,25,23,39,145,145,96,93,73,323,367
싸이코패스 다이어리,2019.11.20,tvN,수목,"1,299","4,494",891,727,177,488,634,221,413,57,40,76,208,161,102,44,64,387,373
초콜릿,2019.11.29,JTBC,금,"1,231","11,903","2,291","1,668",159,807,863,279,584,46,34,53,246,273,141,114,185,276,306
더 게임:0시를 향하여,2020.01.22,MBC,수목,"1,111","4,950",336,"3,157",334,691,831,328,503,43,35,62,255,210,77,47,43,77,85
터치,2020.01.03,채널A,금,973,"5,661","2,357","2,846",364,164,192,73,119,10,10,10,45,56,46,14,60,409,584
포레스트,2020.01.29,KBS2,수목,897,"5,486",310,"2,686",109,"1,190","1,273",453,820,36,76,70,320,423,40,39,15,48,40
하자있는 인간들,2019.11.27,MBC,수목,540,"5,685",607,"1,486",311,492,524,193,331,27,16,24,147,133,38,33,82,111,112
두 번은 없다,2019.11.02,MBC,토일,424,"1,409",303,444,155,"1,878","1,933",709,"1,224",18,98,81,194,515,168,14,13,135,143
본 대로 말하라,2020.02.01,OCN,토일,311,"1,914",123,"1,161",57,-,-,-,-,-,-,-,-,-,-,-,-,-,-
드라마 스테이지 2020,2019.11.23,tvN,수목,222,388,104,383,190,150,164,54,110,7,6,18,41,51,91,40,36,71,58
엑스엑스(XX),2020.01.24,MBC,금,191,"6,749","3,084","1,600",86,310,346,136,210,24,30,25,92,103,4,-,36,15,151
하이에나,2020.02.21,SBS,금,92,336,42,128,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
방법,2020.02.10,tvN,월화,87,306,18,382,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"하이바이, 마마!",2020.02.22,tvN,토일,49,131,11,132,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
루왁인간,2019.12.30,JTBC,월화,41,85,1,46,2,-,-,-,-,-,-,-,-,-,-,13,13,-,25
