프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
청춘기록,2020.09.07,tvN,월화,"34,300","167,309","11,787","4,675",448,"1,408","2,058",808,"1,250",112,138,286,489,494,1.1,"14,047","20,882","18,382","33,025"
브람스를 좋아하세요?,2020.08.31,SBS,월화,"28,769","183,984","7,920","2,240",233,736,"1,128",452,675,41,79,148,252,235,0.1,105,"4,469","3,171","18,894"
스타트업,2020.10.17,tvN,토일,"15,781","82,843","4,382","3,754",345,801,"1,319",556,763,111,137,169,320,300,0.6,10,79,85,"2,121"
구미호뎐,2020.10.07,tvN,수목,"15,281","83,158","18,310","4,194",488,"1,054","1,713",750,963,144,132,302,551,329,1.1,"5,724","6,329","29,865","81,968"
18 어게인,2020.09.21,JTBC,월화,"9,977","81,255","7,482","2,593",340,613,982,434,547,87,95,112,234,295,0.8,"1,910","8,438","12,784","77,150"
비밀의 숲 2,2020.08.15,tvN,토일,"8,942","39,235","1,921",466,88,"1,532","2,426","1,119","1,307",127,188,355,689,575,0.5,"2,483","32,347","11,859","38,263"
도도솔솔라라솔,2020.10.07,KBS2,수목,"6,151","33,236","2,041","2,471",285,521,778,300,478,62,43,78,183,179,0.3,"1,840","4,774","4,629","10,650"
펜트하우스,2020.10.26,SBS,월화,"5,761","22,099","2,720","3,058",141,"1,311","1,916",809,"1,107",88,128,204,434,553,0.1,29,217,"2,458","5,296"
사생활,2020.10.07,JTBC,수목,"4,987","20,700","1,444","2,693",238,385,588,271,316,18,54,81,135,164,1,"1,413","9,878","1,724","6,115"
오! 삼광빌라!,2020.09.19,KBS2,토일,"4,111","9,057","3,093","2,139",314,"4,196","5,814","2,408","3,406",234,327,377,694,"1,436",0.3,"5,768","1,844","15,354","14,333"
경우의 수,2020.09.25,JTBC,금,"3,287","33,851","2,814","1,719",322,274,481,208,273,35,49,41,134,109,0.1,337,"1,090","1,407","4,288"
거짓말의 거짓말,2020.09.04,채널A,금,"2,787","10,557","3,151","1,695",230,945,"1,341",524,817,47,105,123,189,437,0.1,701,"2,538","7,327","17,080"
써치,2020.10.17,OCN,토일,"2,694","14,707","1,542","1,465",281,563,939,447,493,81,68,99,278,250,0.3,-,-,-,-
앨리스,2020.08.28,SBS,금,"2,554","14,406","3,724","2,241",184,"1,250","1,903",880,"1,023",111,108,186,542,506,0.4,"3,328","1,289","7,288","20,054"
카이로스,2020.10.26,MBC,월화,"2,526","8,225",300,"2,071",96,652,910,411,499,37,50,100,172,225,0,-,-,277,"1,275"
내가 가장 예뻤을 때,2020.08.19,MBC,수목,"2,422","10,036","1,916","1,039",161,602,806,293,513,28,41,99,124,179,0,295,426,"1,319","2,959"
미씽: 그들이 있었다,2020.08.29,OCN,토일,"2,087","4,924","1,000",427,194,637,"1,015",462,553,65,66,144,341,253,0.3,-,-,-,-
트웬티 트웬티,2020.09.06,JTBC,토일,"1,422","20,702","5,512",326,22,98,149,72,77,14,10,15,29,48,-,-,299,18,"4,248"
나를 사랑한 스파이,2020.10.21,MBC,수목,"1,187","3,045",465,"2,044",178,627,986,453,533,61,82,105,225,236,0.1,642,"2,356","1,158","6,304"
좀비탐정,2020.09.21,KBS2,월화,"1,140","4,228",316,"1,789",167,491,725,348,377,41,43,61,165,167,0.2,"4,158","4,531","4,266","7,033"
나의 위험한 아내,2020.10.05,MBN,월화,751,"2,156",369,"2,046",300,400,522,227,295,12,32,24,75,175,0.2,149,"2,394","1,737","6,819"
날아라 개천용,2020.10.30,SBS,금,641,"1,315",366,"1,843",119,922,"1,289",586,703,65,99,121,313,362,0,949,94,"1,331",206
산후조리원,2020.11.02,tvN,월화,241,960,138,851,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-
연애는 귀찮지만 외로운 건 싫어!,2020.08.11,MBC eve,월화,165,511,63,487,70,31,49,26,23,6,1,6,11,15,0,181,117,318,"1,740"
라이브온,2020.11.17,JTBC,월화,117,"1,201",168,175,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KBS 드라마 스페셜 2020,2020.11.07,KBS2,수목,66,138,10,188,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
제발 그 남자 만나지 마요,2020.11.10,MBC eve,월화,22,31,3,256,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
시네마틱 드라마 SF8,2020.08.14,MBC,금,19,37,7,57,14,264,376,184,191,22,30,79,80,81,-,-,-,-,-
복수해라,2020.11.21,TV CHOS,토일,11,18,1,85,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
