프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
옷소매 붉은 끝동,2021.11.12,MBC,금,"21,753","157,689","30,987","6,313",466,"1,887","2,810","1,250","1,561",141,205,215,507,772,-,"3,592","12,731","30,067","55,731"
설강화 : snowdrop,2021.12.18,JTBC,토일,"18,159","179,483","6,319","5,766",210,431,672,310,362,11,74,40,133,237,-,"1,724","4,132","2,733","5,907"
그 해 우리는,2021.12.06,SBS,월화,"7,989","49,411","12,759","3,595",260,702,"1,116",484,632,78,79,151,317,263,-,"1,494","13,993","4,427","51,124"
태종 이방원,2021.12.11,KBS1,토일,"6,735","22,364",834,"2,653",195,"1,576","2,134","1,129","1,005",113,101,149,272,452,-,487,"3,347","1,279","7,899"
불가살,2021.12.18,tvN,토일,"6,075","18,046","3,019","2,160",229,932,"1,539",681,857,94,126,212,357,440,-,"2,360","2,714","4,680","15,786"
해피니스,2021.11.05,tvN,금,"4,547","25,409","3,611",747,203,630,"1,155",480,675,108,93,118,296,315,-,"1,502","1,118","5,627","23,662"
"지금, 헤어지는 중입니다",2021.11.12,SBS,금,"4,450","19,867","7,361","2,958",268,923,"1,393",573,821,62,65,181,276,316,-,324,"3,140","7,228","15,783"
신사와 아가씨,2021.09.25,KBS2,토일,"4,021","34,251","16,439","1,612",261,"5,139","7,303","3,117","4,186",276,465,468,899,"1,750",-,"3,132","6,310","20,397","35,713"
연모,2021.10.11,KBS2,월화,"3,525","21,021","4,578","1,774",111,"1,722","2,428",998,"1,430",102,155,178,308,701,-,"1,679","5,813","4,059","24,858"
엉클,2021.12.11,TV CHOS,토일,"2,812","6,898",289,"1,464",149,613,957,415,542,23,81,60,90,268,-,609,"2,797","1,660","4,085"
지리산,2021.10.23,tvN,토일,"2,662","8,524","1,583",957,171,"1,234","2,048",861,"1,186",105,189,181,478,650,-,"4,174","18,903","5,586","11,966"
쇼윈도:여왕의 집,2021.11.29,채널A,월화,"2,485","7,366","3,941","2,361",270,695,957,370,587,24,53,77,110,285,-,"5,132","8,782","3,985","10,955"
멜랑꼴리아,2021.11.10,tvN,수목,"2,069","9,384","8,407","2,161",419,313,498,216,282,25,20,58,149,113,-,"1,186","2,318","3,055","37,750"
공작도시,2021.12.08,JTBC,수목,"2,010","5,310","4,515","2,431",273,451,697,322,375,27,59,34,117,252,-,"2,583","5,754","7,283","15,846"
꽃 피면 달 생각하고,2021.12.20,KBS2,월화,"1,860","6,591",836,"2,876",151,"1,367","1,868",821,"1,047",53,126,121,289,509,-,662,"2,312","2,710","7,654"
배드 앤 크레이지,2021.12.17,tvN,금,"1,758","6,502","1,890","2,217",258,548,914,395,520,77,61,93,248,284,-,"1,017","1,820","4,547","10,152"
어사와 조이,2021.11.08,tvN,월화,"1,082","5,096","3,067","2,085",368,540,770,346,424,23,56,75,163,241,-,"5,446","26,773","8,453","23,202"
너의 밤이 되어줄게,2021.11.07,SBS,토일,901,"3,662",152,900,55,371,571,276,295,27,57,69,94,156,-,-,40,55,"1,929"
학교 2021,2021.11.24,KBS2,수목,829,"5,860",556,"2,070",243,339,465,216,249,21,24,41,78,103,-,151,"3,762",706,"1,893"
너를 닮은 사람,2021.10.13,JTBC,수목,687,"2,726","1,819",558,67,295,435,159,276,7,33,56,99,122,-,403,565,"1,573","8,573"
한 사람만,2021.12.20,JTBC,월화,613,"2,362",370,"1,999",179,235,349,162,187,15,32,24,80,109,-,775,748,331,"1,319"
구경이,2021.10.30,JTBC,토일,561,"2,610",143,783,103,260,411,157,253,25,33,32,137,73,-,625,"7,014",296,"9,957"
키마이라,2021.10.30,OCN,토일,413,689,71,354,186,295,430,188,241,15,39,16,74,191,-,-,-,-,-
KBS 드라마 스페셜 2021,2021.10.22,KBS2,금,368,"1,763",137,"1,055",120,215,303,134,168,13,17,27,46,90,-,-,32,171,-
IDOL (아이돌 : The Coup),2021.11.08,JTBC,월화,303,"2,141",329,751,171,142,281,131,150,34,32,29,36,70,-,800,"2,589",273,"3,096"
고스트 닥터,2022.01.03,tvN,월화,284,"1,271",249,908,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-
트레이서,2022.01.07,MBC,금,202,558,10,445,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
악의 마음을 읽는 자들,2022.01.14,SBS,금,179,705,55,492,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
크라임 퍼즐,2021.11.01,SKY,월화,46,78,5,57,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
하트가 빛나는 순간,2021.09.28,EBS1,월화,27,"3,210",920,32,0,19,40,23,17,5,1,6,9,6,-,-,-,38,175
마녀식당으로 오세요,2022.01.05,tvN,수목,12,11,0,2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
