프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
펜트하우스2,2021.02.19,SBS,금,"21,202","200,554","35,742","8,095",356,"3,651","6,234","2,587","3,647",512,611,818,"1,215","1,683",1.1,"2,039","1,684","23,236","37,999"
빈센조,2021.02.20,tvN,토일,"5,652","38,873","7,377","4,250",286,"1,599","2,796","1,202","1,594",187,224,284,867,739,1.9,191,671,"9,578","19,799"
철인왕후,2020.12.12,tvN,토일,"4,381","46,302","27,001","2,213",280,"2,638","4,823","2,148","2,675",329,411,517,"1,331","1,301",0.7,"1,779","17,432","26,620","166,272"
시지프스 : the myth,2021.02.17,JTBC,수목,"3,724","16,142","1,305","3,059",148,997,"1,665",725,940,74,142,157,455,489,0.8,70,274,"3,435","4,662"
여신강림,2020.12.09,tvN,수목,"3,081","58,752","9,213","1,783",168,774,"1,420",530,889,190,100,213,456,228,0.4,608,"11,040","6,340","33,300"
괴물,2021.02.19,JTBC,금,"2,567","9,658",498,"2,942",161,679,"1,145",492,653,58,77,131,291,354,0.3,682,228,"3,439","6,588"
루카 : 더 비기닝,2021.02.01,tvN,월화,"2,474","10,436","4,034","3,257",481,"1,077","1,808",828,980,99,129,158,557,556,0.9,"3,399","7,165","8,377","20,815"
오! 삼광빌라!,2020.09.19,KBS2,토일,"2,270","9,643","4,017","1,954",279,"5,155","7,689","3,224","4,464",339,502,541,987,"1,885",0.4,999,"5,577","8,666","12,090"
"선배, 그 립스틱 바르지 마요",2021.01.18,JTBC,월화,"2,127","17,603","4,713","1,664",306,338,533,214,319,33,40,78,82,128,0.4,143,"5,599","1,059","6,019"
런 온,2020.12.16,JTBC,수목,"1,907","10,853","1,229","1,305",85,475,795,345,450,49,54,93,226,194,0.3,54,"2,312","1,391","11,782"
달이 뜨는 강,2021.02.15,KBS2,월화,"1,816","11,710",919,"3,617",131,"1,481","2,115",966,"1,149",79,91,190,414,568,0.4,"1,359","3,727","1,351","3,868"
결혼작사 이혼작곡,2021.01.23,TV CHOS,토일,"1,707","7,322","3,269","2,607",175,"1,080","1,508",566,942,45,81,94,146,344,0.6,166,"2,634","4,356","7,424"
안녕? 나야!,2021.02.17,KBS2,수목,930,"2,376",371,"2,972",128,655,963,446,517,76,40,84,186,259,0.4,547,145,466,"3,014"
암행어사: 조선비밀수사단,2020.12.21,KBS2,월화,848,"4,229",671,"1,701",105,"2,155","3,140","1,457","1,683",99,181,231,446,869,0.3,456,116,"1,874","5,470"
타임즈,2021.02.20,OCN,토일,746,"4,329",609,"1,575",227,394,654,321,333,36,51,59,165,221,0.2,-,-,771,"1,639"
마우스,2021.03.03,tvN,수목,434,"4,511",345,878,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-
디어엠(Dear.M),2021.02.26,KBS2,금,427,"4,665",843,480,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
허쉬,2020.12.11,JTBC,금,349,"1,257",183,624,63,360,551,288,263,19,31,46,162,130,0.1,40,806,269,"2,453"
구미호 레시피,2021.02.12,KBS1,금,113,168,29,508,40,400,523,242,281,32,40,51,66,87,-,-,-,4,17
러브씬넘버#,2021.02.01,MBC,월화,112,166,29,900,51,400,558,274,284,27,38,72,111,119,0,51,-,763,"2,008"
드라마 스테이지 2021,2021.03.03,tvN,수목,89,"1,002",25,346,5,-,-,-,-,-,-,-,-,-,-,-,-,-,27
오케이 광자매,2021.03.13,KBS2,토일,52,34,7,247,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
경로를 이탈하였습니다,2021.03.15,JTBC,월화,12,206,34,104,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
