프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
청춘기록,2020.09.07,tvN,월화,"32,419","180,104","11,168","5,640",438,"1,250","1,923",757,"1,166",112,156,269,490,472,1.2,"13,874","17,495","16,754","18,144"
비밀의 숲 2,2020.08.15,tvN,토일,"28,269","116,260","7,232","3,065",407,"1,273","2,088",938,"1,150",125,204,283,571,441,2,"6,433","14,380","16,878","28,970"
브람스를 좋아하세요?,2020.08.31,SBS,월화,"22,097","173,970","11,151","4,122",394,856,"1,277",528,749,51,92,165,287,313,0.2,931,"6,182","4,002","20,148"
악의 꽃,2020.07.29,tvN,수목,"17,832","115,716","10,609","3,662",383,892,"1,323",518,805,86,133,249,384,251,0.6,"3,915","7,180","18,207","44,692"
한 번 다녀왔습니다,2020.03.28,KBS2,토일,"8,744","62,125","9,982","1,782",165,"6,445","9,567","3,998","5,570",463,581,805,"1,453","2,232",0.3,"1,488","1,030","15,984","14,788"
앨리스,2020.08.28,SBS,금,"5,354","24,808","4,754","3,955",269,"1,425","2,183",981,"1,201",145,143,231,579,571,0.6,"1,860","4,226","12,466","18,718"
18 어게인,2020.09.21,JTBC,월화,"5,237","29,980","1,869","2,658",180,489,805,363,442,52,87,94,188,222,0.4,381,"1,074","4,025","7,950"
트웬티 트웬티,2020.09.06,JTBC,토일,"4,989","41,504","7,259",402,17,106,156,69,86,3,14,20,27,47,-,-,-,65,"1,647"
오! 삼광빌라!,2020.09.19,KBS2,토일,"3,132","8,775",719,"2,735",182,"4,213","5,904","2,424","3,480",233,308,404,750,"1,368",0.1,"1,475","3,997","5,306","3,445"
내가 가장 예뻤을 때,2020.08.19,MBC,수목,"3,033","16,340","4,679","1,866",341,631,856,324,532,35,63,102,160,206,0.1,"2,104","2,292","1,917","3,191"
경우의 수,2020.09.25,JTBC,금,"2,908","23,879","1,024","1,918",115,275,490,198,292,30,31,43,179,80,0,239,865,307,427
미씽: 그들이 있었다,2020.08.29,OCN,토일,"2,263","8,836","1,472","1,370",315,653,"1,108",496,611,81,93,150,394,228,0.5,-,-,-,-
거짓말의 거짓말,2020.09.04,채널A,금,"2,210","8,123","1,157","1,890",198,580,790,312,478,29,46,51,141,278,0.1,667,"2,361","4,863","7,301"
좀비탐정,2020.09.21,KBS2,월화,"1,357","5,343",352,"2,709",91,620,961,419,542,60,55,80,264,191,0.1,"1,937","1,837",909,"1,503"
"우리, 사랑했을까",2020.07.08,JTBC,수목,698,"2,056",118,542,24,366,589,278,311,14,63,109,110,124,0,-,314,225,720
스타트업,2020.10.17,tvN,토일,650,"3,072",117,435,6,-,-,-,-,-,-,-,-,-,-,-,-,624,88
사생활,2020.10.07,JTBC,수목,438,"3,079",309,449,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
우아한 친구들,2020.07.10,JTBC,금,425,912,456,560,66,806,"1,120",440,681,21,104,75,256,396,0,153,"2,578",807,"6,670"
연애는 귀찮지만 외로운 건 싫어!,2020.08.11,MBC eve,월화,409,"2,269",202,"1,160",159,47,56,18,38,1,6,6,22,9,0,443,655,381,"2,842"
학교기담,2020.09.12,TV CHOS,토일,320,935,9,173,35,214,277,121,156,19,22,19,37,64,-,-,40,2,719
구미호뎐,2020.10.07,tvN,수목,299,"2,412",433,754,31,-,-,-,-,-,-,-,-,-,-,-,-,-,295
도도솔솔라라솔,2020.10.07,KBS2,수목,269,763,29,432,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
그놈이 그놈이다,2020.07.06,KBS2,월화,212,806,109,568,31,582,779,309,470,17,44,58,97,150,0,556,41,344,562
시네마틱 드라마 SF8,2020.08.14,MBC,금,201,362,26,314,50,241,330,150,180,17,23,38,94,57,0,-,-,-,-
써치,2020.10.17,OCN,토일,60,417,56,224,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
나의 위험한 아내,2020.10.05,MBN,월화,37,50,8,377,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
나를 사랑한 스파이,2020.10.21,MBC,수목,23,50,0,71,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
