프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
비밀의 숲 2,2020.08.15,tvN,토일,"27,917","108,361","4,738","4,529",427,"1,194","1,939",910,"1,030",96,177,284,524,431,1.2,"6,191","6,907","9,834","10,287"
사이코지만 괜찮아,2020.06.20,tvN,토일,"17,175","85,915","12,311","1,625",256,"1,138","1,919",802,"1,117",189,209,245,573,391,0.4,"3,451","13,312","17,534","66,500"
한 번 다녀왔습니다,2020.03.28,KBS2,토일,"16,538","120,039","20,584","3,820",397,"6,200","8,881","3,720","5,161",371,555,700,"1,292","2,143",0.8,"9,047","6,244","31,842","28,948"
악의 꽃,2020.07.29,tvN,수목,"14,214","83,437","9,121","3,188",394,682,"1,046",452,594,50,106,172,256,214,0.6,"5,397","8,589","19,384","44,731"
편의점 샛별이,2020.06.19,SBS,금,"3,507","14,608","2,054","1,214",86,"1,282","1,991",998,993,153,113,193,572,500,0.2,"4,253","7,265","5,942","15,931"
"우리, 사랑했을까",2020.07.08,JTBC,수목,"3,466","17,749","2,488","1,262",200,330,515,201,315,30,43,59,115,130,0.4,92,"1,331","2,020","13,259"
앨리스,2020.08.28,SBS,금,"2,696","10,806","1,269","3,418",126,352,580,264,316,21,90,49,148,120,0.2,81,25,"2,099","1,720"
모범형사,2020.07.06,JTBC,월화,"2,095","4,983","1,404","2,393",235,"1,120","1,714",807,908,102,133,152,443,504,0.3,"2,803","5,474","9,342","28,359"
트레인,2020.07.11,OCN,토일,"1,913","9,087",213,764,262,296,404,195,209,14,16,43,152,86,0.3,-,-,-,-
그놈이 그놈이다,2020.07.06,KBS2,월화,"1,750","7,756","1,057","2,361",213,601,785,306,480,26,44,81,125,195,0,"2,765","3,238","4,355","11,841"
우아한 친구들,2020.07.10,JTBC,금,"1,403","2,748","2,250","1,870",261,667,914,375,539,34,81,71,207,302,0.3,"2,462","1,657","4,404","12,714"
브람스를 좋아하세요?,2020.08.31,SBS,월화,"1,251","5,356",608,"1,829",68,-,-,-,-,-,-,-,-,-,-,-,-,-,-
청춘기록,2020.09.07,tvN,월화,"1,239","11,253",223,936,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
출사표,2020.07.01,KBS2,수목,987,"3,775",330,"1,228",170,505,687,321,365,28,48,51,148,206,0.1,"2,478","5,085","2,956","4,633"
미씽: 그들이 있었다,2020.08.29,OCN,토일,897,"2,379",365,"1,142",132,491,768,373,394,30,61,119,238,174,0.3,-,-,-,-
도도솔솔라라솔,2020.10.07,KBS2,수목,854,"5,131",94,"1,361",14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
내가 가장 예뻤을 때,2020.08.19,MBC,수목,819,"2,995","1,001","1,439",158,550,780,305,475,22,68,104,143,211,0.1,78,79,445,958
트웬티 트웬티,2020.09.06,JTBC,토일,724,"8,579","2,104",62,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
연애는 귀찮지만 외로운 건 싫어!,2020.08.11,MBC eve,월화,450,"2,161",249,"1,839",158,73,106,36,71,8,7,18,25,16,-,226,369,550,"1,674"
시네마틱 드라마 SF8,2020.08.14,MBC,금,403,"1,335",60,829,68,287,447,194,253,44,31,85,105,88,0,-,-,139,80
좀비탐정,2020.09.21,KBS2,월화,256,717,64,839,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
십시일반,2020.07.22,MBC,수목,250,356,145,757,182,510,716,301,415,11,52,108,122,170,0,244,"1,287",581,"3,749"
경우의 수,2020.09.25,JTBC,금,208,519,50,7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18 어게인,2020.09.21,JTBC,월화,197,895,71,348,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
사생활,2020.10.07,JTBC,수목,92,643,31,187,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
거짓말의 거짓말,2020.09.04,채널A,금,71,83,19,575,10,-,-,-,-,-,-,-,-,-,-,-,-,13,36
오! 삼광빌라!,2020.09.19,KBS2,토일,52,177,0,147,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
