프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
펜트하우스,2020.10.26,SBS,월화,"78,643","382,647","68,477","9,523",433,"3,614","5,716","2,363","3,353",330,518,658,"1,182","1,573",1.2,"5,400","20,412","26,689","136,325"
철인왕후,2020.12.12,tvN,토일,"13,987","74,482","20,694","5,002",317,"1,556","2,684","1,178","1,506",207,194,289,885,612,-,"7,601","12,509","31,434","75,857"
경이로운 소문,2020.11.28,OCN,토일,"12,657","79,778","13,945","3,338",415,"1,375","2,345","1,109","1,236",233,187,303,758,556,1.6,"1,392","12,222","4,528","72,109"
여신강림,2020.12.09,tvN,수목,"8,964","97,344","21,499","6,648",319,727,"1,185",434,751,145,124,198,341,190,-,"3,311","4,652","15,625","34,264"
카이로스,2020.10.26,MBC,월화,"5,448","16,162",621,"3,130",260,531,717,305,412,22,27,58,212,156,0.3,"5,621","3,280","2,435","13,466"
허쉬,2020.12.11,JTBC,금,"5,264","14,672","1,127","4,204",227,434,695,353,341,27,64,76,143,186,-,"2,590","3,897","6,409","8,393"
구미호뎐,2020.10.07,tvN,수목,"4,706","41,400","6,119","1,312",128,"1,066","1,686",715,971,148,156,255,589,301,0.2,"2,102","5,836","10,983","32,865"
런 온,2020.12.16,JTBC,수목,"4,131","20,864","1,850","3,924",291,437,718,320,397,51,49,60,214,175,-,"1,633","1,836","2,626","3,247"
오! 삼광빌라!,2020.09.19,KBS2,토일,"3,787","10,732","2,986","2,347",270,"4,915","7,230","3,014","4,216",338,467,464,936,"1,720",0.5,"3,914","8,825","17,839","11,058"
스타트업,2020.10.17,tvN,토일,"2,938","35,770","3,044",757,130,837,"1,339",540,799,119,165,164,390,275,0.1,"1,810","6,070","2,313","13,140"
라이브온,2020.11.17,JTBC,월화,"2,866","30,053","5,727","1,805",128,134,223,100,122,13,18,22,62,45,0.2,92,"1,579","1,763","10,205"
낮과 밤,2020.11.30,tvN,월화,"1,846","7,219","3,222","3,448",428,813,"1,208",508,699,59,93,130,362,315,0.6,"6,370","9,393","8,502","31,463"
바람피면 죽는다,2020.12.02,KBS2,수목,"1,627","3,778",817,"4,480",204,626,901,369,532,41,68,81,184,219,-,"1,045","1,197","3,936","11,381"
날아라 개천용,2020.10.30,SBS,금,"1,295","8,098",264,"2,263",106,862,"1,282",596,686,54,96,119,281,371,0.1,"1,939",785,"2,282","5,608"
암행어사: 조선비밀수사단,2020.12.21,KBS2,월화,"1,242","5,205",600,"4,038",147,926,"1,236",591,645,42,71,67,241,327,-,"1,039","1,662","2,306","4,220"
나를 사랑한 스파이,2020.10.21,MBC,수목,715,"1,150",368,"1,516",206,468,673,295,378,34,46,78,159,138,0.1,"4,370","2,890",977,"3,797"
복수해라,2020.11.21,TV CHOS,토일,515,959,58,"1,024",65,415,566,245,321,9,42,35,57,148,0.2,140,"1,478","1,059","11,463"
KBS 드라마 스페셜 2020,2020.11.07,KBS2,수목,495,"1,370",118,"1,776",90,248,334,146,188,21,31,34,55,88,-,-,-,-,-
제발 그 남자 만나지 마요,2020.11.10,MBC eve,월화,376,"1,783",209,810,156,70,115,41,73,9,13,13,40,32,0.1,810,"2,329",650,"2,791"
"선배, 그 립스틱 바르지 마요",2021.01.18,JTBC,월화,46,762,152,216,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
