프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
펜트하우스,2020.10.26,SBS,월화,"22,167","78,151","26,241","5,854",320,"2,224","3,247","1,373","1,874",134,286,354,675,988,0.8,"2,676","12,006","15,031","57,882"
스타트업,2020.10.17,tvN,토일,"20,213","189,442","14,005","4,429",655,818,"1,354",539,816,125,155,129,403,312,1,"7,343","17,280","15,493","34,017"
구미호뎐,2020.10.07,tvN,수목,"10,475","85,552","25,057","3,326",481,989,"1,608",687,922,162,141,238,548,313,0.7,"3,654","10,196","29,859","92,870"
도도솔솔라라솔,2020.10.07,KBS2,수목,"6,844","38,213","1,883","1,746",249,487,731,289,441,49,60,67,176,177,0.1,"2,171","2,880","5,575","7,828"
카이로스,2020.10.26,MBC,월화,"6,642","22,825","1,140","2,773",274,533,716,312,404,24,42,64,163,165,0.3,"3,814","7,359","1,680","9,910"
오! 삼광빌라!,2020.09.19,KBS2,토일,"5,282","11,668","4,909","2,803",308,"4,737","6,771","2,811","3,959",286,436,397,894,"1,670",0.4,"9,256","7,922","27,053","18,370"
산후조리원,2020.11.02,tvN,월화,"4,621","37,289","13,517","4,549",470,719,"1,151",413,738,66,127,227,280,228,0.1,"5,726","7,611","15,915","30,434"
18 어게인,2020.09.21,JTBC,월화,"3,213","30,010","4,464","1,958",165,605,996,426,570,85,120,100,233,269,0.3,"1,396","7,771","6,035","25,283"
경우의 수,2020.09.25,JTBC,금,"2,202","18,884","2,120","2,253",211,273,436,193,243,25,37,29,146,109,0.2,"1,420","2,352","1,754","7,756"
사생활,2020.10.07,JTBC,수목,"1,990","12,623","1,223","1,921",198,303,451,207,244,14,38,45,101,147,0.5,"1,387","5,819",526,"9,885"
라이브온,2020.11.17,JTBC,월화,"1,740","15,344","1,709","2,662",64,250,368,159,208,14,28,46,103,78,0,108,410,"1,423","4,422"
써치,2020.10.17,OCN,토일,"1,669","8,424","1,137",786,235,746,"1,200",546,654,91,88,127,353,335,0.4,-,-,-,-
경이로운 소문,2020.11.28,OCN,토일,"1,473","5,865",573,"2,417",188,799,"1,296",616,680,88,105,149,416,341,0.6,-,-,-,-
나를 사랑한 스파이,2020.10.21,MBC,수목,"1,163","2,557",427,"1,820",212,530,767,339,428,44,44,86,183,198,0.1,"1,628","9,611","1,055","10,508"
청춘기록,2020.09.07,tvN,월화,"1,105","1,434",0,14,0,-,-,-,-,-,-,-,-,-,-,-,410,382,"15,720"
날아라 개천용,2020.10.30,SBS,금,982,"2,141",646,"2,233",203,943,"1,356",638,718,65,90,125,349,376,0.2,"4,362","6,481","8,897","14,519"
복수해라,2020.11.21,TV CHOS,토일,696,920,82,"2,403",73,568,759,339,420,20,70,39,82,193,0.1,334,589,995,"1,459"
낮과 밤,2020.11.30,tvN,월화,608,"3,473",233,"1,833",104,910,"1,363",600,764,52,143,133,361,366,0.1,70,-,20,-
철인왕후,2020.12.12,tvN,토일,553,"3,815","1,087",843,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KBS 드라마 스페셜 2020,2020.11.07,KBS2,수목,550,"1,178",140,"2,167",152,347,477,186,291,22,30,43,73,137,0,35,831,40,"1,805"
허쉬,2020.12.11,JTBC,금,511,"1,544",138,926,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
여신강림,2020.12.09,tvN,수목,439,"2,631",399,901,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
나의 위험한 아내,2020.10.05,MBN,월화,391,639,309,"1,704",286,391,495,186,310,11,33,26,81,169,0.1,126,940,"2,584","9,209"
제발 그 남자 만나지 마요,2020.11.10,MBC eve,월화,389,"1,353",86,"1,484",93,72,128,46,82,17,11,17,47,28,0.1,745,"3,843",344,"2,354"
바람피면 죽는다,2020.12.02,KBS2,수목,185,401,53,826,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
런 온,2020.12.16,JTBC,수목,143,942,53,319,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
트웬티 트웬티,2020.09.06,JTBC,토일,67,249,11,92,0,76,109,54,55,6,10,13,11,43,-,-,-,-,-
암행어사: 조선비밀수사단,2020.12.21,KBS2,월화,22,194,14,73,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
좀비탐정,2020.09.21,KBS2,월화,9,44,0,0,0,-,-,-,-,-,-,-,-,-,-,-,22,-,21
