프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
갯마을 차차차,2021.08.28,tvN,토일,"17,801","127,581","17,935","3,506",548,"1,625","2,830","1,211","1,619",197,240,337,692,794,4.2,"4,665","16,691","28,422","83,444"
슬기로운 의사생활2,2021.06.17,tvN,수목,"9,525","62,833","11,083","2,353",116,"2,482","4,371","1,818","2,553",295,457,622,"1,172","1,103",1.9,"8,128","30,358","23,006","70,946"
펜트하우스3,2021.06.04,SBS,금,"7,453","54,141","11,278","2,242",80,"3,298","5,404","2,252","3,152",343,473,630,947,"1,593",0.5,195,"2,742","8,610","23,285"
검은 태양,2021.09.17,MBC,금,"6,760","30,311","5,780","3,469",154,"1,464","2,238","1,051","1,186",111,146,245,559,586,1.1,"3,130","10,189","5,664","21,009"
홍천기,2021.08.30,SBS,월화,"6,556","30,419","7,632","3,255",215,"1,600","2,419","1,072","1,347",126,145,193,621,676,0.9,814,"11,925","8,077","30,234"
원 더 우먼,2021.09.17,SBS,금,"4,435","18,750","8,328","3,153",178,"1,867","2,920","1,319","1,601",142,229,198,568,918,0.7,751,"2,421","9,158","27,888"
인간실격,2021.09.04,JTBC,토일,"4,198","17,501","1,265","3,463",290,324,538,235,303,20,40,61,116,153,0.2,334,883,"2,996","6,998"
유미의 세포들,2021.09.17,tvN,금,"3,987","22,604","1,641","2,247",80,485,851,345,506,53,88,153,247,162,-,639,"2,416","2,529","10,592"
하이클래스,2021.09.06,tvN,월화,"3,118","6,975","6,616","2,854",427,562,875,337,537,33,60,80,205,272,0.2,983,"4,029","6,438","17,638"
오케이 광자매,2021.03.13,KBS2,토일,"1,919","7,548","6,297","1,147",163,"5,222","7,623","3,244","4,378",300,438,529,"1,033","1,778",0.4,298,942,"10,404","11,513"
경찰수업,2021.08.09,KBS2,월화,"1,602","5,704","1,027","1,761",175,"1,140","1,668",720,949,72,135,120,279,487,0.3,"1,901","5,214","8,209","21,160"
홈타운,2021.09.22,tvN,수목,"1,061","2,544",354,"1,717",183,454,771,331,440,51,58,75,224,221,0.2,696,605,"1,646","1,547"
달리와 감자탕,2021.09.22,KBS2,수목,"1,042","3,789",841,"2,269",126,773,"1,117",460,657,45,53,87,217,327,0.2,936,873,"3,784","3,046"
신사와 아가씨,2021.09.25,KBS2,토일,"1,017","10,299",907,"2,293",84,"4,152","6,022","2,587","3,435",169,345,439,733,"1,432",0.1,742,728,"2,403","1,024"
연모,2021.10.11,KBS2,월화,410,"2,007",50,442,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
더 로드 : 1의 비극,2021.08.04,tvN,수목,358,562,458,"1,102",170,354,520,222,298,20,30,24,116,220,0.2,222,505,"2,405","4,605"
지리산,2021.10.23,tvN,토일,213,630,0,400,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
너를 닮은 사람,2021.10.13,JTBC,수목,121,469,206,461,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
하트가 빛나는 순간,2021.09.28,EBS1,월화,51,483,36,189,1,41,58,31,27,-,-,3,33,6,-,-,-,-,158
이벤트를 확인하세요,2021.08.14,MBC,토일,48,266,20,82,31,189,280,130,150,3,15,52,63,40,0,-,"1,055",-,50
KBS 드라마 스페셜 2021,2021.10.22,KBS2,금,14,77,4,46,2,-,-,-,-,-,-,-,-,-,-,-,-,20,"2,037"
