프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
이태원 클라쓰,2020.01.31,JTBC,금,"39,653","257,802","34,666","7,257",459,"2,728","4,442","1,919","2,523",449,420,478,"1,208","1,167",921,"2,255","3,761","5,738","9,234"
"하이바이, 마마!",2020.02.22,tvN,토일,"17,308","98,417","21,302","3,918",384,"1,264","2,179",913,"1,266",201,235,279,557,546,352,"1,596","1,641","6,509","6,046"
하이에나,2020.02.21,SBS,금,"10,975","56,829","6,531","4,201",292,"1,536","2,365","1,063","1,302",126,171,259,612,609,416,610,"1,263","2,756","3,653"
슬기로운 의사생활,2020.03.12,tvN,수목,"10,465","67,161","8,336","5,318",175,"1,578","2,588","1,041","1,547",209,227,370,826,586,470,"1,870","1,450","6,189","4,693"
부부의 세계,2020.03.27,JTBC,금,"5,649","44,988","6,057","3,157",98,"1,163","1,792",723,"1,069",54,159,192,465,483,163,278,278,"2,894","2,301"
날씨가 좋으면 찾아가겠어요,2020.02.24,JTBC,월화,"4,835","37,135","5,336","2,421",284,396,574,234,341,31,49,72,173,146,173,281,470,874,"1,455"
반의반,2020.03.23,tvN,월화,"3,443","14,696","1,226","3,602",234,389,587,243,344,46,55,63,169,153,71,182,92,436,268
그 남자의 기억법,2020.03.18,MBC,수목,"2,978","13,630","1,504","3,581",314,363,527,279,248,22,46,68,92,120,82,282,328,605,648
메모리스트,2020.03.11,tvN,수목,"2,773","10,047","1,036","3,770",300,639,980,385,595,86,86,107,289,267,110,416,656,"1,494","1,075"
365 : 운명을 거스르는 1년,2020.03.23,MBC,월화,"2,595","7,535",711,"2,824",248,890,"1,253",511,742,46,62,193,290,286,84,187,93,570,571
사랑은 뷰티풀 인생은 원더풀,2019.09.28,KBS2,토일,"2,460","9,221","4,660","1,216",237,"5,329","7,417","2,973","4,445",255,422,586,877,"1,736",86,469,608,"2,738","2,509"
아무도 모른다,2020.03.02,SBS,월화,"2,193","8,384","1,257","4,068",318,"1,500","2,191",903,"1,288",116,161,191,449,586,260,138,278,956,"1,258"
방법,2020.02.10,tvN,월화,"2,150","8,025","3,756","2,465",184,"1,003","1,524",662,862,105,121,232,436,397,183,"1,405",990,"2,811","2,067"
본 대로 말하라,2020.02.01,OCN,토일,"1,465","5,087","1,177",996,292,535,812,360,452,38,53,103,245,227,130,-,-,-,-
어서와,2020.03.25,KBS2,수목,"1,325","5,894",449,"2,383",127,516,756,278,478,36,58,107,132,193,64,47,93,67,247
머니게임,2020.01.15,tvN,수목,"1,170","10,736","1,234",709,78,341,535,213,322,28,38,64,130,164,7,-,93,134,736
루갈,2020.03.28,OCN,토일,"1,148","4,749",280,"2,130",141,652,970,486,484,68,60,97,267,317,239,-,-,-,-
한 번 다녀왔습니다,2020.03.28,KBS2,토일,948,"15,193",877,"2,739",95,"4,620","6,357","2,538","3,819",244,374,469,794,"1,426",240,140,47,846,311
포레스트,2020.01.29,KBS2,수목,652,"3,510","1,010","2,246",149,821,"1,122",472,650,48,62,96,194,321,136,188,282,670,"1,173"
유별나! 문셰프,2020.03.27,채널A,금,413,"1,534",160,"1,569",81,174,231,104,128,8,19,10,43,95,-,48,48,168,269
더 킹 : 영원의 군주,2020.04.17,SBS,금,406,"2,537",341,299,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
더 게임:0시를 향하여,2020.01.22,MBC,수목,393,"1,270",219,"1,231",228,729,"1,044",453,592,63,61,99,193,251,84,142,805,235,469
어쩌다 가족,2020.03.29,TV CHOS,토일,293,564,45,"1,409",33,330,424,177,248,18,14,30,81,123,-,-,-,34,67
낭만닥터 김사부 2,2020.01.06,SBS,월화,186,"1,440",1,7,2,-,-,-,-,-,-,-,-,-,-,517,938,34,"1,737"
계약우정,2020.04.06,KBS2,월화,183,557,22,393,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
두 번은 없다,2019.11.02,MBC,토일,136,746,153,237,55,"2,191","3,014","1,142","1,873",110,164,232,336,836,6,-,48,235,633
화양연화 - 삶이 꽃이 되는 순간,2020.04.25,tvN,토일,79,"1,100",53,471,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
본 어게인,2020.04.20,KBS2,월화,24,102,13,110,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
