프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
사랑의 불시착,2019.12.14,tvN,토일,"44,016","265,753","47,398","5,543",518,"3,318","4,882","1,909","2,973",513,353,563,"1,468","1,153",811,"5,182","4,228","19,108","15,179"
이태원 클라쓰,2020.01.31,JTBC,금,"42,655","173,119","21,847","6,687",408,"2,148","2,843","1,162","1,681",296,204,329,862,745,752,"1,314","2,256","5,406","7,956"
스토브리그,2019.12.13,SBS,금,"25,807","99,768","9,093","4,423",238,"2,762","3,607","1,662","1,946",259,257,386,984,"1,080",737,"1,452","1,918","4,479","5,226"
낭만닥터 김사부 2,2020.01.06,SBS,월화,"23,187","131,337","22,659","5,681",311,"3,913","4,749","1,891","2,858",365,250,333,"1,183","1,402",646,"1,075","2,673","3,313","7,279"
하이에나,2020.02.21,SBS,금,"3,661","20,233","2,374","3,189",149,"1,664","2,020",834,"1,186",105,134,155,546,669,346,376,378,"1,294","1,326"
"하이바이, 마마!",2020.02.22,tvN,토일,"3,401","27,077","7,295","2,573",200,"1,131","1,618",620,998,131,107,200,486,401,237,515,420,"3,265","2,314"
방법,2020.02.10,tvN,월화,"2,458","8,199","1,274","2,686",266,612,717,253,464,48,38,81,255,186,225,791,465,"1,859","1,423"
사랑은 뷰티풀 인생은 원더풀,2019.09.28,KBS2,토일,"2,408","15,910","4,367","1,065",299,"5,315","5,966","2,239","3,727",146,276,360,723,"1,489",78,334,471,"2,433","2,581"
본 대로 말하라,2020.02.01,OCN,토일,"1,937","7,048",946,"1,437",404,517,701,285,417,41,39,119,239,150,187,-,-,-,-
머니게임,2020.01.15,tvN,수목,"1,893","12,432","2,455","1,678",338,365,417,170,247,28,13,44,122,129,58,138,279,838,"1,342"
간택 - 여인들의 전쟁,2019.12.14,TV CHOS,토일,"1,728","5,336","1,991",527,80,964,"1,058",449,609,21,58,78,125,278,107,232,416,"1,075","1,585"
날씨가 좋으면 찾아가겠어요,2020.02.24,JTBC,월화,"1,655","11,172","1,192","1,608",125,340,340,103,237,14,17,21,100,114,67,93,140,138,135
블랙독,2019.12.16,tvN,월화,"1,402","5,763","1,316","1,020",97,855,928,316,611,34,47,113,317,275,22,424,425,"1,022","1,120"
검사내전,2019.12.16,JTBC,월화,"1,353","5,378","1,125","1,120",137,711,758,332,426,24,38,61,177,282,135,141,470,505,"1,650"
포레스트,2020.01.29,KBS2,수목,"1,205","8,078","1,464","3,241",219,"1,128","1,258",449,809,52,70,55,322,348,111,331,518,974,"1,007"
더 게임:0시를 향하여,2020.01.22,MBC,수목,"1,036","3,919",598,"2,295",452,428,556,267,289,45,10,77,140,139,68,328,609,303,547
엑스엑스(XX),2020.01.24,MBC,금,650,"18,241","8,020",710,66,311,347,137,210,25,30,35,101,110,28,234,608,535,"2,404"
안녕 드라큘라,2020.02.17,JTBC,월화,540,"3,714",208,"1,195",68,207,192,53,139,7,7,13,45,59,51,-,187,34,67
터치,2020.01.03,채널A,금,539,"2,732",973,"1,108",257,139,158,63,95,11,10,5,29,49,36,284,518,294,731
두 번은 없다,2019.11.02,MBC,토일,443,"2,573",586,600,270,"2,086","2,170",789,"1,380",24,90,119,208,587,106,47,91,515,700
아무도 모른다,2020.03.02,SBS,월화,299,838,50,"1,157",19,-,-,-,-,-,-,-,-,-,-,708,"2,254",696,"2,663"
슬기로운 의사생활,2020.03.12,tvN,수목,260,"1,707",90,529,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
메모리스트,2020.03.11,tvN,수목,177,"1,167",86,513,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
유별나! 문셰프,2020.03.27,채널A,금,85,266,9,410,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
그 남자의 기억법,2020.03.18,MBC,수목,34,51,0,96,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
루갈,2020.03.28,OCN,토일,25,49,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
드라마 스테이지 2020,2019.11.23,tvN,수목,1,8,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,33
