,프로그램명,주차,게시글(건수),댓글(건수),동영상조회(건수),뉴스(건수),동영상(건수),게시글(점유율%),댓글(점유율%),동영상조회(점유율%),뉴스(점유율%),동영상(점유율%),가구시청자수,2049시청자수,가구시청률(%),2049시청률(%)
67,라켓소년단,202125.5,525.71,3172.86,517531.0,540.57,45.71,1.39,0.81,0.73,1.64,0.79,720760.57,505639.14,3.55,2.24
68,내가가장예뻤을때,202036.5,525.5,2454.83,633171.0,376.83,55.08,0.78,0.39,0.89,1.19,0.96,445551.33,228038.83,2.18,1.02
69,미씽그들이있었다,202036.5,524.7,1613.9,283727.1,293.9,64.1,0.81,0.26,0.43,0.9,1.16,362562.7,334242.2,1.78,1.49
70,방법,202008.0,521.67,1836.67,560880.67,614.78,51.44,0.64,0.27,0.62,1.64,0.98,551952.11,369613.33,2.74,1.72
71,로스쿨,202117.5,521.5,3754.08,851023.33,547.75,57.17,1.41,0.68,1.06,1.58,0.92,624322.42,348091.92,3.08,1.53
72,멀리서보면푸른봄,202125.0,507.89,5792.33,244687.89,583.78,38.78,1.27,1.42,0.33,1.73,0.67,280476.44,120668.22,1.39,0.54
73,알고있지만,202127.0,483.77,6903.85,1944309.92,659.0,46.54,1.28,1.82,2.76,2.06,0.86,189906.0,163437.46,0.94,0.72
74,멜랑꼴리아,202146.5,478.25,1636.25,965739.75,445.25,58.25,0.95,0.51,1.37,1.4,1.03,223489.5,157546.5,1.12,0.72
75,경찰수업,202134.5,462.33,1711.83,287587.25,646.67,42.0,1.07,0.41,0.4,2.15,0.76,818728.08,419318.17,4.04,1.91
76,라이브온,202057.73,458.0,4303.82,723017.91,486.0,18.82,0.67,0.78,0.94,1.14,0.28,108553.09,80542.27,0.54,0.35
77,하이클래스,202138.5,449.33,1051.5,1172898.33,427.42,71.17,0.92,0.25,1.58,1.4,1.32,499125.25,273050.58,2.48,1.25
78,머니게임,202005.5,444.8,2736.9,452633.4,577.9,74.1,0.59,0.41,0.54,1.55,1.46,306749.2,150285.8,1.53,0.71
79,오케이광자매,202122.5,442.47,1670.1,1018514.2,492.37,55.83,1.08,0.38,1.37,1.44,0.96,4110374.83,1532222.43,20.23,6.84
80,월간집,202126.0,417.27,1929.82,519409.27,447.27,64.82,1.08,0.53,0.77,1.39,1.2,286557.64,157212.18,1.41,0.69
81,굿캐스팅,202020.0,416.91,1748.91,531740.45,791.55,52.82,0.46,0.24,0.69,2.02,0.89,1165011.09,773868.91,5.84,3.42
82,99억의여자,202002.5,415.25,1991.25,288518.75,932.0,51.5,0.72,0.5,0.5,2.58,1.08,1742622.0,521207.75,8.72,2.42
83,루카더비기닝,202106.0,415.0,1794.0,730148.33,722.11,81.44,0.81,0.31,0.9,1.81,1.33,724993.11,543438.33,3.57,2.41
84,아는건별로없지만가족입니다,202025.0,414.73,1727.36,1649068.45,574.91,66.55,0.53,0.24,2.25,1.54,1.1,450932.36,294869.18,2.25,1.32
85,대박부동산,202117.5,402.67,1486.75,327101.58,526.17,39.5,1.06,0.24,0.4,1.52,0.64,748034.92,459874.83,3.67,2.04
86,모범형사,202030.0,391.73,921.82,217535.45,544.36,48.27,0.65,0.17,0.32,1.61,0.78,692755.18,450722.45,3.4,2.0
87,결혼작사이혼작곡,202105.5,390.0,2189.7,673190.3,705.0,34.3,0.67,0.35,0.8,1.73,0.57,853509.2,257827.9,4.19,1.14
88,꽃피면달생각하고,202150.0,387.0,1347.6,169446.6,604.4,30.4,0.72,0.3,0.24,1.88,0.56,546873.2,214392.6,2.72,0.98
89,쇼윈도:여왕의집,202148.5,382.88,1094.88,519720.75,528.25,42.0,0.71,0.3,0.69,1.64,0.78,377123.75,133059.0,1.88,0.61
90,아무도모른다,202012.0,380.45,1384.18,199399.91,719.45,47.36,0.45,0.22,0.24,1.86,0.85,1154453.27,555312.45,5.78,2.49
91,트레인,202029.0,364.78,1541.56,46678.0,328.78,64.78,0.63,0.28,0.07,0.97,1.04,181078.0,132161.56,0.88,0.6
92,화양연화삶이꽃이되는순간,202018.5,364.0,2306.58,769088.17,597.67,56.83,0.38,0.32,0.98,1.55,0.95,466187.83,305333.67,2.34,1.36
93,구경이,202144.5,356.9,1274.0,88402.8,550.7,36.1,0.75,0.41,0.11,1.71,0.65,178226.2,130602.2,0.89,0.6
94,암행어사조선비밀수사단,202082.3,356.1,1706.3,213389.2,828.8,43.8,0.51,0.27,0.25,1.94,0.73,1188401.0,492700.7,5.83,2.19
95,낮과밤,202064.9,349.5,1455.4,586947.5,711.5,70.8,0.46,0.26,0.73,1.64,1.12,592961.7,411327.6,2.91,1.83
96,본대로말하라,202007.0,337.55,1277.18,204159.45,326.73,68.45,0.4,0.24,0.24,0.89,1.31,412798.73,309723.36,2.06,1.45
97,어서와,202014.0,337.33,2954.89,159551.78,544.33,64.56,0.41,0.44,0.2,1.4,1.08,265937.56,161671.44,1.33,0.7
98,그놈이그놈이다,202030.5,332.17,1431.42,229728.42,597.08,41.42,0.55,0.26,0.32,1.78,0.67,420175.08,190209.67,2.07,0.85
99,루갈,202014.5,330.5,1300.33,181974.25,364.42,66.0,0.39,0.2,0.24,0.94,1.13,298215.92,185282.42,1.5,0.82
100,어사와조이,202147.0,322.0,1316.45,543388.73,468.09,72.27,0.65,0.41,0.75,1.49,1.3,427791.45,237065.18,2.13,1.08
101,공작도시,202149.0,320.14,850.14,704081.43,411.0,41.57,0.63,0.24,0.9,1.29,0.76,202977.0,92326.86,1.0,0.43
102,계약우정,202014.0,317.2,904.0,45708.6,489.0,25.6,0.36,0.14,0.04,1.3,0.42,178458.8,117217.0,0.9,0.5
103,저녁같이드실래요,202022.5,309.71,1600.64,437640.43,555.0,68.43,0.36,0.21,0.58,1.46,1.13,430541.07,262607.0,2.16,1.16
104,달리와감자탕,202140.0,298.73,1531.27,439251.64,472.73,41.55,0.64,0.39,0.6,1.52,0.75,628961.0,252536.73,3.12,1.17
105,포레스트,202007.5,275.4,1707.4,278412.2,817.3,47.7,0.35,0.29,0.32,2.25,0.9,824502.6,321176.8,4.12,1.5
106,영혼수선공,202021.0,269.36,1392.45,146547.09,661.73,39.18,0.29,0.17,0.18,1.71,0.67,349731.0,180057.55,1.74,0.8
107,바람과구름과비,202024.5,259.75,2545.0,173659.83,430.58,34.17,0.32,0.34,0.24,1.12,0.56,684835.0,220809.25,3.4,0.98
108,나를사랑한스파이,202045.5,257.33,566.83,105002.33,454.25,49.75,0.4,0.11,0.13,1.17,0.76,397936.5,242053.08,1.96,1.08
109,루왁인간,202001.0,256.0,908.0,83864.0,765.0,51.0,0.5,0.2,0.2,2.4,1.2,325690.0,184968.0,1.7,0.9
110,너의밤이되어줄게,202146.5,240.42,1184.83,41978.25,260.17,14.5,0.49,0.38,0.07,0.82,0.26,260057.5,140892.25,1.28,0.65
111,출사표,202029.0,240.09,1493.82,109938.27,509.18,44.18,0.38,0.24,0.14,1.5,0.7,405514.55,202606.18,1.99,0.91
112,안녕나야,202109.0,236.82,658.82,128664.64,557.45,36.91,0.5,0.13,0.15,1.41,0.58,495877.82,244637.27,2.44,1.07
113,바람피면죽는다,202068.45,236.18,456.09,115767.09,725.18,35.27,0.31,0.07,0.15,1.65,0.56,418103.27,201381.0,2.05,0.91
114,더게임0시를향하여,202006.0,233.0,936.18,105938.27,619.09,92.36,0.31,0.18,0.14,1.71,1.78,500463.82,224661.09,2.51,1.05
115,좀비탐정,202038.5,230.17,861.0,60926.75,444.75,22.25,0.35,0.13,0.08,1.38,0.37,267432.83,156164.25,1.32,0.69
116,홈타운,202139.0,214.67,458.11,93322.0,242.89,56.11,0.44,0.1,0.12,0.82,1.02,222792.44,167597.89,1.1,0.77
117,야식남녀,202023.0,203.0,522.0,86719.11,478.67,40.44,0.26,0.06,0.1,1.22,0.68,97872.33,64143.56,0.48,0.28
118,번외수사,202022.0,199.78,575.67,205608.56,402.56,67.22,0.21,0.09,0.27,1.0,1.12,346356.56,313604.33,1.73,1.38
119,하자있는인간들,202002.0,189.67,1994.67,202693.33,531.67,105.33,0.33,0.53,0.33,1.47,2.23,492237.67,187180.67,2.47,0.87
120,오주인님,202114.0,187.45,702.45,90286.09,624.82,51.36,0.43,0.07,0.09,1.71,0.83,270491.45,144625.09,1.34,0.65
121,더로드1의비극,202132.0,184.78,339.56,167280.89,511.78,62.89,0.48,0.09,0.24,1.76,1.2,269613.89,157732.56,1.33,0.71
122,미치지않고서야,202126.87,184.07,605.93,126283.47,339.13,34.73,0.47,0.15,0.17,1.05,0.61,390146.33,188416.27,1.91,0.83
123,학교2021,202147.5,183.1,1093.8,89761.6,467.9,32.9,0.36,0.33,0.13,1.46,0.61,219969.0,97129.9,1.1,0.46
124,안녕드라큘라,202007.0,180.0,1238.0,69495.67,398.33,22.67,0.23,0.2,0.07,1.13,0.43,69058.33,21817.0,0.33,0.1
125,타임즈,202108.0,168.89,703.67,158141.0,341.89,68.78,0.33,0.12,0.19,0.84,1.11,228075.44,141748.56,1.12,0.66
126,보쌈-운명을훔치다,202120.0,166.0,950.31,249347.08,442.0,67.0,0.44,0.19,0.29,1.31,1.08,763144.62,227775.77,3.75,1.01
127,외출,202018.0,162.33,387.0,235233.67,291.0,27.0,0.13,0.03,0.3,0.8,0.5,171895.0,99832.33,0.87,0.43
128,한사람만,202150.0,131.4,482.0,76618.0,418.4,36.2,0.24,0.1,0.08,1.26,0.68,94170.4,54848.2,0.48,0.24
129,십시일반,202029.5,122.75,200.62,34326.5,354.0,50.75,0.21,0.01,0.06,1.09,0.8,267831.88,133189.75,1.31,0.59
130,복수해라,202057.73,121.09,185.36,16065.36,345.73,16.45,0.18,0.03,0.01,0.81,0.26,332428.91,107226.55,1.63,0.47
131,키마이라,202145.0,120.91,212.0,21101.0,178.18,48.45,0.24,0.07,0.01,0.55,0.88,189140.27,93805.82,0.94,0.42
132,IDOL,202146.0,111.33,770.67,103106.0,287.56,57.44,0.23,0.24,0.16,0.89,1.0,76746.67,47590.22,0.38,0.22
